teamID,teamID_out,yearID,n
NH1,PH2,1875,3
NH1,PH3,1875,3
BS1,BL1,1875,6
BS1,CL1,1875,2
BS1,HR1,1875,2
BS1,MID,1875,1
BS1,NH1,1875,1
BS1,WS3,1875,3
BS1,WS5,1875,1
KEO,BL4,1875,1
KEO,BR2,1875,2
KEO,CH1,1875,1
KEO,CH2,1875,6
KEO,CL1,1875,1
KEO,FW1,1875,3
KEO,HR1,1875,3
KEO,NY2,1875,2
KEO,WS3,1875,1
KEO,WS4,1875,1
NY2,BL1,1875,6
NY2,BR1,1875,4
NY2,BR2,1875,5
NY2,CH2,1875,1
NY2,CL1,1875,1
NY2,ELI,1875,1
NY2,FW1,1875,6
NY2,HR1,1875,1
NY2,KEO,1875,2
NY2,MID,1875,1
NY2,PH1,1875,2
NY2,PH2,1875,2
NY2,TRO,1875,3
NY2,WS5,1875,1
SL2,BL1,1875,2
SL2,BR1,1875,2
SL2,BR2,1875,14
SL2,CH2,1875,1
SL2,CL1,1875,1
SL2,ELI,1875,4
SL2,HR1,1875,1
SL2,NY2,1875,8
SL2,PH1,1875,5
SL2,PH2,1875,1
SL2,TRO,1875,1
CH2,BL1,1875,5
CH2,BR1,1875,4
CH2,CH1,1875,5
CH2,CL1,1875,1
CH2,FW1,1875,1
CH2,HR1,1875,2
CH2,KEO,1875,6
CH2,NY2,1875,4
CH2,PH2,1875,10
CH2,RC1,1875,1
CH2,TRO,1875,4
CH2,WS3,1875,5
CH2,WS4,1875,5
CH2,WS5,1875,5
SL1,BL1,1875,1
SL1,BR2,1875,1
SL1,BS1,1875,1
SL1,CL1,1875,1
SL1,WS3,1875,1
CHN,BL1,1876,3
CHN,BS1,1876,47
CHN,CH2,1876,9
CHN,CL1,1876,4
CHN,HR1,1876,1
CHN,PH1,1876,4
CHN,PH2,1876,2
CHN,RC1,1876,2
CHN,WS3,1876,2
CHN,WS4,1876,3
CHN,WS5,1876,3
LS1,BL1,1876,8
LS1,BR1,1876,2
LS1,BR2,1876,7
LS1,CH2,1876,9
LS1,CL1,1876,3
LS1,ELI,1876,3
LS1,HR1,1876,2
LS1,KEO,1876,1
LS1,NH1,1876,5
LS1,NY2,1876,3
LS1,NY3,1876,1
LS1,PH1,1876,4
LS1,PH2,1876,13
LS1,PH3,1876,3
LS1,RC1,1876,2
LS1,SL2,1876,2
LS1,WS5,1876,2
LS1,WS6,1876,1
HAR,BL1,1876,11
HAR,BR1,1876,1
HAR,BR2,1876,15
HAR,CH2,1876,1
HAR,ELI,1876,1
HAR,FW1,1876,1
HAR,HR1,1876,18
HAR,NH1,1876,1
HAR,NY2,1876,15
HAR,PH2,1876,5
HAR,TRO,1876,2
HAR,WS3,1876,2
SL3,BL1,1876,2
SL3,BR2,1876,5
SL3,CH2,1876,1
SL3,CL1,1876,1
SL3,HR1,1876,1
SL3,MID,1876,1
SL3,NY2,1876,2
SL3,PH1,1876,11
SL3,PH2,1876,4
SL3,RC1,1876,2
SL3,SL1,1876,4
SL3,SL2,1876,10
SL3,TRO,1876,2
NY3,BL1,1876,9
NY3,BR1,1876,1
NY3,BR2,1876,8
NY3,CH1,1876,1
NY3,CH2,1876,3
NY3,CL1,1876,1
NY3,ELI,1876,2
NY3,FW1,1876,6
NY3,KEO,1876,1
NY3,LS1,1876,1
NY3,MID,1876,2
NY3,NY2,1876,35
NY3,PH1,1876,8
NY3,PH2,1876,9
NY3,PH3,1876,4
NY3,PHN,1876,2
NY3,SL2,1876,1
NY3,TRO,1876,2
NY3,WS3,1876,2
PHN,BL1,1876,5
PHN,BR1,1876,4
PHN,BR2,1876,1
PHN,BS1,1876,1
PHN,CH1,1876,4
PHN,CH2,1876,13
PHN,CL1,1876,2
PHN,FW1,1876,1
PHN,NY2,1876,6
PHN,NY3,1876,2
PHN,PH1,1876,26
PHN,PH2,1876,15
PHN,PH3,1876,1
PHN,TRO,1876,5
PHN,WS3,1876,2
CN1,BL1,1876,7
CN1,BR2,1876,8
CN1,BS1,1876,5
CN1,CH2,1876,1
CN1,CL1,1876,1
CN1,HR1,1876,5
CN1,KEO,1876,1
CN1,NH1,1876,2
CN1,PH1,1876,4
CN1,PH2,1876,4
CN1,PH3,1876,1
CN1,RC1,1876,4
CN1,SL1,1876,1
CN1,WS3,1876,1
CN1,WS6,1876,1
BSN,BL1,1876,4
BSN,BS1,1876,39
BSN,HR1,1876,2
BSN,MID,1876,2
BSN,NH1,1876,6
BSN,PH1,1876,22
BSN,PH2,1876,7
BSN,PH3,1876,1
BSN,WS3,1876,1
BSN,WS6,1876,2
CN1,BL1,1877,19
CN1,BR2,1877,3
CN1,BS1,1877,9
CN1,BSN,1877,4
CN1,CH2,1877,4
CN1,CHN,1877,5
CN1,CL1,1877,1
CN1,FW1,1877,5
CN1,HAR,1877,4
CN1,HR1,1877,11
CN1,KEO,1877,3
CN1,LS1,1877,3
CN1,NH1,1877,3
CN1,NY2,1877,20
CN1,NY3,1877,6
CN1,PH1,1877,5
CN1,PH2,1877,11
CN1,PHN,1877,2
CN1,RC1,1877,2
CN1,SL1,1877,1
CN1,SL2,1877,2
CN1,SL3,1877,2
CN1,TRO,1877,1
HAR,BL1,1877,4
HAR,BR1,1877,2
HAR,BR2,1877,17
HAR,CL1,1877,2
HAR,ELI,1877,1
HAR,FW1,1877,1
HAR,HR1,1877,9
HAR,NH1,1877,2
HAR,NY2,1877,15
HAR,NY3,1877,7
HAR,PH2,1877,2
HAR,TRO,1877,2
HAR,WS3,1877,1
CHN,BL1,1877,4
CHN,BS1,1877,35
CHN,CH2,1877,7
CHN,CN1,1877,7
CHN,FW1,1877,2
CHN,HR1,1877,4
CHN,KEO,1877,3
CHN,NY2,1877,4
CHN,NY3,1877,1
CHN,PH1,1877,7
CHN,PH2,1877,3
CHN,PHN,1877,1
CHN,RC1,1877,3
CHN,SL2,1877,5
CHN,SL3,1877,4
CHN,WS3,1877,2
CHN,WS4,1877,2
CHN,WS5,1877,2
SL3,BL1,1877,3
SL3,BR2,1877,7
SL3,BSN,1877,4
SL3,CH2,1877,2
SL3,CL1,1877,2
SL3,HAR,1877,1
SL3,HR1,1877,1
SL3,LS1,1877,1
SL3,MID,1877,1
SL3,NH1,1877,4
SL3,NY2,1877,3
SL3,NY3,1877,1
SL3,PH1,1877,11
SL3,PH2,1877,1
SL3,PHN,1877,1
SL3,SL1,1877,5
SL3,SL2,1877,5
SL3,TRO,1877,2
SL3,WS3,1877,1
BSN,BR2,1877,4
BSN,BS1,1877,30
BSN,CHN,1877,2
BSN,CL1,1877,4
BSN,HAR,1877,4
BSN,HR1,1877,4
BSN,MID,1877,2
BSN,PH1,1877,6
BSN,PH2,1877,1
BSN,PHN,1877,1
BSN,WS3,1877,1
LS1,BL1,1877,6
LS1,BR2,1877,1
LS1,BS1,1877,2
LS1,CH2,1877,6
LS1,HR1,1877,1
LS1,NH1,1877,1
LS1,NY2,1877,2
LS1,NY3,1877,2
LS1,PH1,1877,2
LS1,PH2,1877,6
LS1,PH3,1877,1
LS1,PHN,1877,3
LS1,SL2,1877,1
LS1,SL3,1877,1
LS1,TRO,1877,1
LS1,WS3,1877,1
LS1,WS5,1877,2
PRO,BL1,1878,12
PRO,BR1,1878,2
PRO,BR2,1878,1
PRO,BS1,1878,1
PRO,BSN,1878,10
PRO,CH2,1878,3
PRO,CHN,1878,4
PRO,CL1,1878,1
PRO,CN1,1878,7
PRO,ELI,1878,2
PRO,FW1,1878,1
PRO,HAR,1878,9
PRO,HR1,1878,9
PRO,IN1,1878,4
PRO,LS1,1878,2
PRO,MID,1878,1
PRO,NH1,1878,4
PRO,NY2,1878,9
PRO,PH1,1878,6
PRO,PH2,1878,6
PRO,RC1,1878,4
PRO,SL1,1878,1
PRO,SL2,1878,2
PRO,SL3,1878,5
PRO,TRO,1878,4
PRO,WS3,1878,3
PRO,WS4,1878,1
PRO,WS5,1878,1
CHN,BR2,1878,9
CHN,BS1,1878,10
CHN,CN1,1878,1
CHN,FW1,1878,1
CHN,HAR,1878,14
CHN,HR1,1878,4
CHN,IN1,1878,1
CHN,KEO,1878,1
CHN,NH1,1878,1
CHN,NY2,1878,9
CHN,NY3,1878,6
CHN,PH1,1878,4
CHN,RC1,1878,1
CHN,SL3,1878,1
ML2,BR2,1878,2
ML2,CH2,1878,7
ML2,CHN,1878,3
ML2,CN1,1878,3
ML2,KEO,1878,4
ML2,LS1,1878,1
ML2,PH2,1878,4
ML2,SL1,1878,5
BSN,BL1,1878,5
BSN,BR2,1878,6
BSN,BS1,1878,24
BSN,CL1,1878,2
BSN,CN1,1878,4
BSN,HAR,1878,6
BSN,HR1,1878,7
BSN,LS1,1878,2
BSN,MID,1878,1
BSN,NY2,1878,1
BSN,PH1,1878,4
BSN,PH2,1878,1
BSN,PHN,1878,1
BSN,WS3,1878,1
BSN,WS5,1878,1
IN1,BR1,1878,1
IN1,CHN,1878,2
IN1,CL1,1878,1
IN1,CN1,1878,1
IN1,FW1,1878,1
IN1,HR1,1878,1
IN1,KEO,1878,1
IN1,LS1,1878,1
IN1,MID,1878,1
IN1,NY2,1878,5
IN1,NY3,1878,1
IN1,PH1,1878,3
IN1,PH2,1878,1
IN1,PH3,1878,1
IN1,PHN,1878,1
IN1,PRO,1878,4
IN1,SL1,1878,2
IN1,SL3,1878,3
IN1,TRO,1878,1
CN1,BL1,1878,4
CN1,BS1,1878,8
CN1,BSN,1878,5
CN1,CHN,1878,7
CN1,CL1,1878,2
CN1,HR1,1878,2
CN1,KEO,1878,1
CN1,LS1,1878,2
CN1,NH1,1878,1
CN1,NY2,1878,2
CN1,PRO,1878,1
CN1,SL2,1878,1
CN1,SL3,1878,1
CN1,TRO,1878,1
CN1,WS5,1878,1
SR1,BL4,1879,1
SR1,CL2,1879,1
SR1,CN1,1879,4
SR1,LS1,1879,1
SR1,ML2,1879,2
SR1,NY3,1879,1
SR1,PH1,1879,1
SR1,PRO,1879,1
SR1,SL3,1879,2
SR1,TRN,1879,3
CL2,BL1,1879,2
CL2,CHN,1879,1
CL2,CN1,1879,8
CL2,FW1,1879,1
CL2,HAR,1879,2
CL2,HR1,1879,1
CL2,IN1,1879,5
CL2,KEO,1879,1
CL2,NY2,1879,1
CL2,PH3,1879,1
CL2,PHN,1879,1
CL2,PRO,1879,1
CL2,SR1,1879,1
PRO,BL1,1879,6
PRO,BR1,1879,1
PRO,BS1,1879,9
PRO,BSN,1879,9
PRO,CH2,1879,2
PRO,CHN,1879,4
PRO,CN1,1879,4
PRO,ELI,1879,1
PRO,FW1,1879,4
PRO,HAR,1879,5
PRO,HR1,1879,2
PRO,LS1,1879,2
PRO,MID,1879,1
PRO,NY2,1879,19
PRO,NY3,1879,5
PRO,PH1,1879,3
PRO,PH2,1879,2
PRO,SL2,1879,1
PRO,SL3,1879,2
PRO,SR1,1879,1
PRO,TRO,1879,3
PRO,WS3,1879,1
PRO,WS4,1879,1
PRO,WS5,1879,1
CHN,BR2,1879,4
CHN,BSN,1879,2
CHN,CH2,1879,2
CHN,CL1,1879,1
CHN,HAR,1879,7
CHN,HR1,1879,3
CHN,IN1,1879,4
CHN,LS1,1879,1
CHN,ML2,1879,2
CHN,NY2,1879,2
CHN,NY3,1879,4
CHN,PH1,1879,4
CHN,PH2,1879,1
CHN,PRO,1879,3
CHN,RC1,1879,1
CHN,SL1,1879,1
CHN,SL3,1879,1
CHN,TRN,1879,1
CHN,WS6,1879,1
CN1,BL1,1879,3
CN1,BS1,1879,18
CN1,BSN,1879,5
CN1,CH2,1879,1
CN1,CHN,1879,13
CN1,CL1,1879,2
CN1,LS1,1879,2
CN1,ML2,1879,1
CN1,NY2,1879,1
CN1,PRO,1879,4
CN1,SR1,1879,4
CN1,WS5,1879,1
BSN,BL1,1879,1
BSN,BR2,1879,6
BSN,CHN,1879,1
BSN,CL1,1879,2
BSN,CN1,1879,4
BSN,HAR,1879,6
BSN,HR1,1879,6
BSN,KEO,1879,1
BSN,LS1,1879,2
BSN,NY2,1879,1
BSN,PH1,1879,4
BSN,PH2,1879,1
BSN,PHN,1879,1
BSN,WS5,1879,1
TRN,BR1,1879,1
TRN,BR2,1879,9
TRN,CHN,1879,7
TRN,HAR,1879,7
TRN,HR1,1879,2
TRN,IN1,1879,1
TRN,LS1,1879,1
TRN,ML2,1879,1
TRN,NH1,1879,3
TRN,NY2,1879,5
TRN,SL2,1879,4
TRN,SL3,1879,4
TRN,SR1,1879,3
TRN,TRO,1879,1
TRN,WS6,1879,1
BFN,BL1,1879,3
BFN,BR2,1879,1
BFN,CH2,1879,2
BFN,CHN,1879,1
BFN,IN1,1879,1
BFN,LS1,1879,2
BFN,MID,1879,1
BFN,NY2,1879,4
BFN,NY3,1879,1
BFN,PH1,1879,5
BFN,PH2,1879,6
BFN,PHN,1879,2
BFN,RC1,1879,1
BFN,SL2,1879,4
BFN,SL3,1879,3
BFN,TRO,1879,1
BFN,WS3,1879,1
TRN,BL1,1880,1
TRN,BR2,1880,7
TRN,BSN,1880,1
TRN,CH2,1880,1
TRN,CHN,1880,12
TRN,CN1,1880,2
TRN,HAR,1880,13
TRN,HR1,1880,3
TRN,LS1,1880,1
TRN,ML2,1880,1
TRN,NH1,1880,1
TRN,NY2,1880,6
TRN,NY3,1880,4
TRN,PRO,1880,1
TRN,SR1,1880,1
TRN,WOR,1880,2
CHN,BFN,1880,4
CHN,BS1,1880,2
CHN,CL1,1880,1
CHN,CN1,1880,4
CHN,IN1,1880,3
CHN,ML2,1880,1
CHN,NH1,1880,2
CHN,PH1,1880,4
CHN,RC1,1880,1
CHN,SL1,1880,1
CHN,TRN,1880,4
CHN,WS3,1880,2
CHN,WS5,1880,1
WOR,BFN,1880,4
WOR,BR2,1880,1
WOR,BSN,1880,9
WOR,CN1,1880,5
WOR,ML2,1880,4
WOR,NH1,1880,5
WOR,NY2,1880,1
WOR,PH1,1880,2
WOR,PHN,1880,3
WOR,PRO,1880,8
WOR,SL1,1880,1
WOR,SL3,1880,4
WOR,SR1,1880,1
WOR,TRN,1880,2
BSN,BR2,1880,6
BSN,BS1,1880,9
BSN,CHN,1880,2
BSN,CL1,1880,2
BSN,CN1,1880,4
BSN,HAR,1880,6
BSN,HR1,1880,6
BSN,KEO,1880,1
BSN,MID,1880,1
BSN,NY2,1880,1
BSN,PH1,1880,5
BSN,PHN,1880,2
BSN,PRO,1880,5
BSN,SR1,1880,1
BSN,WOR,1880,1
CN1,BFN,1880,1
CN1,BL1,1880,3
CN1,BL4,1880,1
CN1,BS1,1880,10
CN1,BSN,1880,13
CN1,CHN,1880,2
CN1,CL1,1880,2
CN1,CL2,1880,1
CN1,HR1,1880,1
CN1,IN1,1880,1
CN1,MID,1880,1
CN1,NH1,1880,1
CN1,PH1,1880,3
CN1,PRO,1880,2
CN1,SL3,1880,2
CN1,SR1,1880,6
CN1,TRN,1880,1
CN1,WS3,1880,1
CN1,WS6,1880,1
PRO,BL1,1880,2
PRO,BSN,1880,2
PRO,CH2,1880,4
PRO,CHN,1880,11
PRO,CL2,1880,1
PRO,HAR,1880,3
PRO,HR1,1880,1
PRO,ML2,1880,1
PRO,NY2,1880,5
PRO,NY3,1880,1
PRO,PH1,1880,3
PRO,PH2,1880,2
PRO,SL2,1880,4
PRO,SL3,1880,8
PRO,SR1,1880,5
PRO,TRN,1880,4
PRO,TRO,1880,2
PRO,WS4,1880,1
PRO,WS5,1880,1
BFN,BL1,1880,3
BFN,BR2,1880,1
BFN,CH2,1880,2
BFN,CHN,1880,4
BFN,LS1,1880,2
BFN,NH1,1880,1
BFN,NY2,1880,1
BFN,NY3,1880,1
BFN,PH1,1880,2
BFN,PH2,1880,7
BFN,PHN,1880,1
BFN,RC1,1880,3
BFN,SL2,1880,4
BFN,SL3,1880,2
BFN,TRO,1880,1
BFN,WOR,1880,2
BFN,WS3,1880,1
CL2,CHN,1880,9
CL2,CN1,1880,4
CL2,HR1,1880,1
CL2,IN1,1880,5
CL2,LS1,1880,1
CL2,NY2,1880,1
CL2,PH1,1880,3
CL2,PH2,1880,2
CL2,PRO,1880,4
CL2,SL3,1880,2
CL2,TRN,1880,5
CL2,TRO,1880,1
CHN,CL1,1881,1
CHN,CN1,1881,2
CHN,IN1,1881,4
CHN,ML2,1881,1
CHN,NH1,1881,2
CHN,PH1,1881,4
CHN,RC1,1881,1
CHN,SL1,1881,1
CHN,TRN,1881,4
BSN,BFN,1881,5
BSN,BL1,1881,5
BSN,BR2,1881,6
BSN,BS1,1881,11
BSN,CHN,1881,3
BSN,CL1,1881,2
BSN,CN1,1881,6
BSN,FW1,1881,4
BSN,HAR,1881,6
BSN,HR1,1881,5
BSN,LS1,1881,3
BSN,NH1,1881,1
BSN,NY2,1881,13
BSN,NY3,1881,4
BSN,PH1,1881,5
BSN,PH2,1881,2
BSN,PHN,1881,1
BSN,PRO,1881,9
BSN,SR1,1881,1
BSN,WOR,1881,1
BSN,WS5,1881,1
DTN,BFN,1881,6
DTN,BL1,1881,1
DTN,BSN,1881,14
DTN,CH2,1881,1
DTN,CHN,1881,3
DTN,CL2,1881,6
DTN,CN1,1881,18
DTN,LS1,1881,2
DTN,ML2,1881,2
DTN,NY2,1881,1
DTN,PH1,1881,2
DTN,PHN,1881,2
DTN,PRO,1881,10
DTN,SL2,1881,2
DTN,SL3,1881,3
DTN,SR1,1881,2
DTN,TRN,1881,7
DTN,WOR,1881,8
DTN,WS5,1881,1
CL2,BFN,1881,5
CL2,BR2,1881,4
CL2,BSN,1881,1
CL2,CHN,1881,9
CL2,CN1,1881,6
CL2,DTN,1881,5
CL2,HAR,1881,1
CL2,HR1,1881,2
CL2,IN1,1881,10
CL2,LS1,1881,1
CL2,MID,1881,1
CL2,NY2,1881,2
CL2,PH1,1881,6
CL2,PH2,1881,2
CL2,PRO,1881,7
CL2,SL2,1881,4
CL2,SL3,1881,9
CL2,SR1,1881,2
CL2,TRN,1881,5
CL2,TRO,1881,1
CL2,WOR,1881,5
CL2,WS6,1881,1
BFN,BL1,1881,5
BFN,BS1,1881,9
BFN,BSN,1881,17
BFN,CH2,1881,4
BFN,CHN,1881,6
BFN,CL1,1881,2
BFN,CL2,1881,3
BFN,CN1,1881,15
BFN,HR1,1881,1
BFN,MID,1881,1
BFN,ML2,1881,1
BFN,NY3,1881,1
BFN,PH1,1881,1
BFN,PHN,1881,1
BFN,PRO,1881,2
BFN,SL2,1881,4
BFN,SL3,1881,1
BFN,SR1,1881,4
BFN,TRN,1881,3
BFN,TRO,1881,1
BFN,WOR,1881,1
BFN,WS3,1881,1
PRO,BFN,1881,2
PRO,BL1,1881,6
PRO,BSN,1881,6
PRO,CH2,1881,2
PRO,CHN,1881,5
PRO,CL2,1881,2
PRO,CN1,1881,4
PRO,DTN,1881,1
PRO,FW1,1881,4
PRO,HAR,1881,3
PRO,HR1,1881,1
PRO,NY2,1881,17
PRO,NY3,1881,5
PRO,PH2,1881,1
PRO,SR1,1881,1
PRO,TRO,1881,1
PRO,WS4,1881,1
PRO,WS5,1881,1
WOR,BFN,1881,1
WOR,BL1,1881,2
WOR,BR1,1881,1
WOR,BR2,1881,1
WOR,BSN,1881,5
WOR,CL2,1881,6
WOR,CN1,1881,8
WOR,DTN,1881,4
WOR,HR1,1881,1
WOR,IN1,1881,1
WOR,ML2,1881,1
WOR,NY2,1881,3
WOR,PHN,1881,1
WOR,PRO,1881,7
WOR,SL2,1881,1
WOR,SL3,1881,2
WOR,SR1,1881,8
WOR,TRN,1881,3
WOR,TRO,1881,2
TRN,BR2,1881,7
TRN,CHN,1881,6
TRN,CL2,1881,2
TRN,HAR,1881,6
TRN,HR1,1881,2
TRN,LS1,1881,1
TRN,ML2,1881,1
TRN,NH1,1881,1
TRN,NY2,1881,2
TRN,SR1,1881,1
CHN,CL1,1882,1
CHN,CN1,1882,2
CHN,IN1,1882,4
CHN,ML2,1882,1
CHN,NH1,1882,2
CHN,PH1,1882,4
CHN,RC1,1882,1
CHN,SL1,1882,1
CHN,TRN,1882,4
PT1,BFN,1882,7
PT1,BL2,1882,4
PT1,BR2,1882,4
PT1,BSN,1882,4
PT1,CH2,1882,2
PT1,CHN,1882,4
PT1,CL1,1882,1
PT1,CL2,1882,6
PT1,CN1,1882,1
PT1,CN2,1882,1
PT1,DTN,1882,6
PT1,IN1,1882,2
PT1,ML2,1882,2
PT1,NH1,1882,1
PT1,PH1,1882,2
PT1,PRO,1882,2
PT1,SL2,1882,1
PT1,SL3,1882,3
PT1,SL4,1882,5
PT1,SR1,1882,1
PT1,TRN,1882,4
PT1,WOR,1882,4
PH4,BFN,1882,1
PH4,BL1,1882,1
PH4,BL2,1882,4
PH4,BL4,1882,1
PH4,BS1,1882,1
PH4,BSN,1882,2
PH4,CL2,1882,2
PH4,CN1,1882,2
PH4,DTN,1882,4
PH4,LS1,1882,1
PH4,LS2,1882,2
PH4,ML2,1882,4
PH4,NH1,1882,1
PH4,PH1,1882,1
PH4,PH2,1882,4
PH4,SR1,1882,1
PH4,TRN,1882,5
PH4,WOR,1882,11
PH4,WS6,1882,1
DTN,BFN,1882,5
DTN,BSN,1882,1
DTN,CL2,1882,4
DTN,CN2,1882,1
DTN,ML2,1882,1
DTN,NH1,1882,2
DTN,PH1,1882,5
DTN,PH2,1882,1
DTN,PHN,1882,2
DTN,PRO,1882,5
DTN,SL3,1882,2
DTN,TRO,1882,1
DTN,WOR,1882,5
LS2,BFN,1882,2
