name,lat,lon,prop_housing,median_income,avg_duration,median_age,same_house,same_county,same_state,car_alone,carpool,public_transit,walked,transit_other,work_at_home,time_0900_0959
"Charlottesville, VA",37.852187,-78.576378,22.5852776698373,59189.0,24.57396511872242,37.5,83.0,5.0,7.0,74.0,10.0,3.0,4.0,2.0,6.0,6.0
"Chattanooga, TN-GA",35.051983,-85.359129,20.351302241066023,46228.0,22.896782801044733,39.8,85.0,9.0,2.0,84.0,9.0,1.0,2.0,1.0,4.0,4.0
"Cheyenne, WY",41.307065,-104.689616,18.949317605102532,58324.0,15.302320514217236,36.9,82.0,11.0,1.0,83.0,9.0,0.0,2.0,2.0,4.0,3.0
"Chicago-Naperville-Elgin, IL-IN-WI",41.824839,-87.829624,24.29386799356066,61497.0,30.9456180701978,36.3,87.0,9.0,2.0,71.0,8.0,12.0,3.0,2.0,4.0,5.0
"Chico, CA",39.666929,-121.600672,26.410286111432875,43165.0,20.05471785326121,36.9,79.0,15.0,4.0,74.0,11.0,1.0,4.0,4.0,6.0,6.0
"Chillicothe, OH",39.337628,-83.057026,20.43728423475259,43450.0,26.15828317569504,40.2,86.0,8.0,5.0,86.0,8.0,1.0,2.0,1.0,2.0,3.0
"Cincinnati, OH-KY-IN",39.071529,-84.427488,20.91152815013405,55204.0,24.306589742973593,37.4,85.0,9.0,3.0,83.0,8.0,2.0,2.0,1.0,4.0,5.0
"Claremont-Lebanon, NH-VT",43.783633,-72.161066,22.7796758810955,54733.0,22.9417924602861,44.0,86.0,6.0,3.0,75.0,10.0,1.0,6.0,2.0,6.0,4.0
"Clarksburg, WV",39.288594,-80.430424,15.283750440606275,42555.0,24.02198301191303,42.2,91.0,5.0,3.0,83.0,9.0,0.0,2.0,2.0,3.0,3.0
"Clarksdale, MS",34.229166,-90.602687,24.532179556517036,27735.0,19.226791580484242,33.5,87.0,8.0,3.0,77.0,16.0,1.0,2.0,1.0,2.0,1.0
"Clarksville, TN-KY",36.746851,-87.562535,22.480869397466403,46653.0,22.316174495442418,30.2,77.0,10.0,2.0,82.0,10.0,1.0,3.0,2.0,3.0,3.0
"Clearlake, CA",39.099645,-122.753184,30.502541878489875,35997.0,27.360760160033692,45.2,80.0,12.0,6.0,74.0,10.0,1.0,3.0,1.0,11.0,5.0
"Cleveland, MS",33.795539,-90.880401,23.134506921893696,29255.0,17.423939318162873,34.6,86.0,9.0,3.0,81.0,12.0,0.0,4.0,1.0,2.0,7.0
"Cleveland, TN",35.134558,-84.66739,20.716205418754992,41301.0,22.727205132562883,39.5,85.0,10.0,2.0,84.0,9.0,0.0,2.0,2.0,3.0,4.0
"Cleveland-Elyria, OH",41.592367,-81.661214,21.60198583277835,49551.0,24.523425429178655,41.0,87.0,10.0,2.0,82.0,7.0,3.0,2.0,1.0,4.0,6.0
"Clewiston, FL",26.553489,-81.165901,22.879684418145956,36504.0,28.630577961962555,33.3,83.0,8.0,5.0,67.0,16.0,5.0,3.0,6.0,3.0,2.0
"Clinton, IA",41.898036,-90.531972,17.04347128327549,49849.0,19.27870680044593,42.2,88.0,8.0,2.0,84.0,8.0,1.0,2.0,1.0,3.0,4.0
"Clovis, NM",34.574173,-103.346897,21.191527357507812,40318.0,14.54445057979017,30.7,78.0,13.0,2.0,83.0,10.0,0.0,2.0,3.0,2.0,4.0
"Coeur d'Alene, ID",47.674556,-116.700014,23.10314046904163,49292.0,21.041919279404123,39.4,83.0,11.0,2.0,82.0,8.0,1.0,2.0,1.0,6.0,5.0
"Coffeyville, KS",37.192524,-95.742878,18.243442381373416,40716.0,16.658927086221237,39.7,83.0,11.0,3.0,83.0,8.0,0.0,4.0,2.0,2.0,2.0
"Coldwater, MI",41.916112,-85.059033,20.170200761671918,42538.0,24.55744164898454,40.3,89.0,6.0,4.0,80.0,10.0,0.0,3.0,1.0,5.0,3.0
"College Station-Bryan, TX",30.756509,-96.488918,26.095452837279222,39915.0,18.92063721243623,26.4,71.0,15.0,10.0,76.0,12.0,3.0,4.0,3.0,3.0,6.0
"Colorado Springs, CO",38.842507,-104.657933,23.65289685632632,57735.0,22.255826961271932,34.1,78.0,12.0,2.0,78.0,10.0,1.0,4.0,2.0,6.0,5.0
"Columbia, MO",38.990615,-92.30968,21.62294380236042,49059.0,18.058682447090586,29.9,74.0,15.0,6.0,78.0,10.0,1.0,5.0,2.0,4.0,5.0
"Columbia, SC",34.091759,-81.042437,21.83679272106909,49238.0,23.56927719516479,35.9,82.0,9.0,4.0,81.0,8.0,1.0,3.0,3.0,4.0,4.0
"Columbus, GA-AL",32.441436,-84.908756,24.580159894034722,42278.0,21.069390745187416,34.1,77.0,10.0,4.0,79.0,10.0,1.0,2.0,2.0,8.0,4.0
"Columbus, IN",39.205973,-85.897605,18.80781089414183,54488.0,19.444596668128014,38.0,85.0,9.0,3.0,84.0,9.0,1.0,2.0,2.0,2.0,3.0
"Columbus, MS",33.472909,-88.443313,21.472900289615225,38672.0,21.417963669924905,36.0,84.0,9.0,3.0,86.0,10.0,0.0,1.0,1.0,1.0,3.0
"Columbus, NE",41.571287,-97.521157,16.161470274954414,55391.0,14.699511253243227,38.1,87.0,8.0,3.0,81.0,11.0,0.0,4.0,1.0,4.0,4.0
"Columbus, OH",39.968131,-82.836781,21.46783997096979,55115.0,23.373839442686602,35.6,83.0,11.0,4.0,83.0,8.0,2.0,2.0,1.0,4.0,5.0
"Concord, NH",43.297654,-71.680191,23.088952258301905,65226.0,26.035731530661515,42.2,87.0,7.0,4.0,82.0,7.0,0.0,3.0,1.0,6.0,4.0
"Connersville, IN",39.640056,-85.178725,21.15613353421616,37833.0,24.669384057971016,41.5,84.0,12.0,3.0,83.0,11.0,0.0,2.0,2.0,2.0,4.0
"Cookeville, TN",36.278008,-85.466482,21.019218560627923,34654.0,24.661078894790702,38.8,87.0,7.0,4.0,89.0,7.0,0.0,1.0,1.0,2.0,2.0
"Coos Bay, OR",43.185014,-124.093328,22.105988314239788,39193.0,20.38625515547523,47.9,82.0,12.0,3.0,74.0,13.0,1.0,4.0,2.0,6.0,7.0
"Cordele, GA",31.922932,-83.768104,19.448732083792724,36280.0,17.93182090985476,38.3,85.0,12.0,2.0,81.0,14.0,0.0,0.0,2.0,3.0,3.0
"Corinth, MS",34.880771,-88.580265,19.603432968333827,33790.0,21.442672474357174,40.0,86.0,8.0,4.0,88.0,9.0,0.0,1.0,1.0,1.0,4.0
"Cornelia, GA",34.631021,-83.531116,20.909828209098283,40689.0,25.375875781102064,38.9,91.0,3.0,5.0,83.0,10.0,0.0,2.0,1.0,3.0,4.0
"Corning, NY",42.267809,-77.383803,17.84928665702973,47733.0,21.535067516788285,41.8,88.0,8.0,3.0,80.0,11.0,1.0,4.0,1.0,3.0,3.0
"Corpus Christi, TX",27.892838,-97.401265,20.883729411049657,49359.0,20.14213267834078,35.8,81.0,12.0,5.0,80.0,11.0,2.0,2.0,2.0,3.0,5.0
"Corsicana, TX",32.046929,-96.472485,20.294806716126512,40976.0,24.24550388421837,37.8,85.0,9.0,4.0,81.0,13.0,0.0,1.0,1.0,3.0,3.0
"Cortland, NY",42.595007,-76.070267,18.940583422857614,48404.0,20.830719578162643,36.0,87.0,8.0,4.0,75.0,11.0,1.0,7.0,1.0,5.0,4.0
"Corvallis, OR",44.491759,-123.429311,22.522193846528033,49338.0,19.458695468736817,32.4,78.0,9.0,7.0,64.0,8.0,2.0,9.0,9.0,7.0,8.0
"Coshocton, OH",40.301641,-81.920011,17.378334816810604,41569.0,23.607362396665017,41.3,88.0,9.0,3.0,81.0,8.0,0.0,3.0,2.0,5.0,4.0
"Craig, CO",40.618422,-108.207291,20.565409093629672,50123.0,20.112691815856778,36.7,84.0,10.0,3.0,71.0,19.0,1.0,4.0,1.0,3.0,4.0
"Crawfordsville, IN",40.040379,-86.8933,19.159140992956832,46286.0,21.30450736957984,40.1,86.0,9.0,4.0,82.0,10.0,0.0,4.0,1.0,3.0,5.0
"Crescent City, CA",41.744957,-123.957814,24.51783624243041,39302.0,13.769551616266945,39.2,78.0,11.0,9.0,76.0,11.0,1.0,3.0,2.0,7.0,4.0
"Crestview-Fort Walton Beach-Destin, FL",30.640175,-86.367625,23.284290639187688,53083.0,23.41351754769186,38.7,82.0,9.0,3.0,83.0,9.0,1.0,1.0,3.0,3.0,4.0
"Crossville, TN",35.950388,-84.998352,17.428943937418513,38350.0,22.666981974880446,49.3,88.0,8.0,2.0,86.0,10.0,0.0,1.0,1.0,3.0,3.0
"Cullman, AL",34.131941,-86.867619,20.093872891031335,39415.0,26.37691910721197,40.5,88.0,8.0,3.0,84.0,10.0,0.0,2.0,1.0,3.0,3.0
"Cullowhee, NC",35.287395,-83.140834,20.792807519411525,36705.0,18.856543164811097,36.2,84.0,5.0,7.0,78.0,13.0,1.0,4.0,1.0,4.0,6.0
"Cumberland, MD-WV",39.531964,-78.804907,19.83045391136388,37276.0,22.802706923477356,41.8,88.0,8.0,3.0,81.0,12.0,0.0,4.0,1.0,2.0,3.0
"Dallas-Fort Worth-Arlington, TX",32.818151,-97.02519,22.083650190114067,59175.0,27.052863904783642,34.1,83.0,10.0,4.0,81.0,10.0,1.0,1.0,2.0,5.0,5.0
"Dalton, GA",34.796281,-84.848108,21.57761863053223,38818.0,21.700369232892786,35.3,86.0,9.0,3.0,84.0,11.0,0.0,1.0,2.0,2.0,3.0
"Danville, IL",40.183422,-87.732835,17.796371157281186,42548.0,20.902958048905553,39.9,87.0,9.0,2.0,83.0,10.0,1.0,3.0,1.0,3.0,3.0
"Danville, KY",37.514962,-84.733482,19.546942516695037,38185.0,23.43685037773158,40.2,84.0,8.0,6.0,80.0,11.0,0.0,3.0,1.0,5.0,3.0
"Danville, VA",36.811113,-79.397613,19.63653528439934,38133.0,23.399783705839944,43.9,87.0,6.0,5.0,83.0,10.0,1.0,1.0,1.0,3.0,4.0
"Daphne-Fairhope-Foley, AL",30.660974,-87.749845,21.4494948488532,50183.0,26.41541618409789,41.8,84.0,9.0,3.0,84.0,10.0,0.0,1.0,1.0,3.0,4.0
"Davenport-Moline-Rock Island, IA-IL",41.396881,-90.465922,18.446052708581238,51263.0,19.572343327400077,39.3,87.0,8.0,2.0,84.0,8.0,1.0,2.0,1.0,3.0,4.0
"Dayton, OH",39.829461,-84.141939,21.78024680887155,47162.0,21.102697240847604,39.4,83.0,11.0,3.0,83.0,8.0,2.0,3.0,1.0,3.0,5.0
"Dayton, TN",35.608711,-84.924396,18.777991042866283,37512.0,23.554380025391453,40.7,81.0,10.0,5.0,80.0,14.0,0.0,2.0,1.0,2.0,2.0
"Decatur, AL",34.490636,-87.102638,17.319811171594427,44273.0,24.580247503464093,39.7,87.0,8.0,3.0,88.0,9.0,0.0,1.0,1.0,2.0,3.0
"Decatur, IL",39.859995,-88.961597,18.11718348466678,46696.0,18.470090051457976,40.5,83.0,12.0,3.0,84.0,8.0,1.0,2.0,1.0,2.0,3.0
"Decatur, IN",40.74566,-84.936655,16.787590693019766,47964.0,21.84375,34.0,90.0,6.0,2.0,76.0,15.0,0.0,2.0,3.0,4.0,1.0
"Defiance, OH",41.323916,-84.490495,18.152416432972387,48853.0,20.299207130042248,39.3,85.0,9.0,4.0,87.0,8.0,0.0,2.0,1.0,2.0,3.0
"Del Rio, TX",29.89296,-101.151715,18.841698841698843,42735.0,18.323820495365766,31.9,85.0,8.0,3.0,77.0,12.0,0.0,2.0,4.0,4.0,2.0
"Deltona-Daytona Beach-Ormond Beach, FL",29.179949,-81.18984,25.256630100303024,42571.0,25.28565258181075,46.4,86.0,7.0,3.0,82.0,8.0,1.0,1.0,3.0,5.0,6.0
"Deming, NM",32.182151,-107.749774,19.83923619642669,28489.0,19.97411289304205,38.8,81.0,12.0,2.0,74.0,15.0,1.0,2.0,1.0,7.0,3.0
"Denver-Aurora-Lakewood, CO",39.435738,-104.895384,23.17540416783478,64206.0,26.94610988646273,36.0,81.0,8.0,6.0,76.0,9.0,4.0,2.0,2.0,6.0,5.0
"DeRidder, LA",30.648469,-93.343339,14.037052994398966,46420.0,29.718712500882333,37.4,85.0,7.0,5.0,81.0,10.0,0.0,2.0,4.0,2.0,2.0
"Des Moines-West Des Moines, IA",41.547836,-93.940443,19.312134977287478,61640.0,20.00767207738081,35.4,83.0,10.0,4.0,83.0,9.0,1.0,2.0,1.0,4.0,4.0
"Detroit-Warren-Dearborn, MI",42.716194,-83.205816,22.185259535417266,52305.0,26.529107660692638,39.7,86.0,9.0,3.0,84.0,9.0,2.0,1.0,1.0,3.0,6.0
"Dickinson, ND",46.81068,-102.655129,13.461839613911705,70243.0,17.012857535753575,35.8,83.0,7.0,3.0,81.0,11.0,0.0,2.0,1.0,5.0,4.0
"Dixon, IL",41.746193,-89.300387,17.583262825936465,52004.0,22.912970430107528,41.8,87.0,6.0,6.0,84.0,9.0,1.0,2.0,1.0,4.0,1.0
"Dodge City, KS",37.691704,-99.887942,16.140460154942186,51374.0,15.184866997581775,30.7,88.0,7.0,2.0,80.0,14.0,0.0,1.0,2.0,2.0,3.0
"Dothan, AL",31.252894,-85.461725,19.13365420214735,40515.0,22.32713300294669,40.0,86.0,8.0,3.0,87.0,8.0,0.0,1.0,1.0,2.0,3.0
"Dover, DE",39.095954,-75.504614,23.62196160887455,55169.0,25.750549572863623,36.8,86.0,8.0,2.0,83.0,9.0,1.0,2.0,1.0,4.0,4.0
"Dublin, GA",32.528585,-82.850662,19.418271200327737,34174.0,24.38040417016651,38.8,86.0,10.0,3.0,83.0,11.0,0.0,1.0,2.0,2.0,3.0
"DuBois, PA",41.000193,-78.474111,17.778848470248132,41510.0,25.125988821355488,43.3,89.0,6.0,3.0,82.0,10.0,0.0,3.0,1.0,3.0,2.0
"Dubuque, IA",42.468822,-90.882522,18.131436060662796,53410.0,16.840263831046656,38.9,86.0,8.0,2.0,82.0,8.0,1.0,4.0,1.0,4.0,4.0
"Duluth, MN-WI",47.318438,-92.392827,19.447597427166098,47574.0,20.06071966419943,40.8,85.0,9.0,4.0,79.0,10.0,2.0,4.0,2.0,4.0,4.0
"Dumas, TX",35.837687,-101.892923,15.02834949843195,48149.0,16.735910752067706,31.0,83.0,9.0,6.0,72.0,21.0,0.0,3.0,2.0,1.0,2.0
"Duncan, OK",34.485593,-97.851484,17.426871021852524,43519.0,20.062391096621887,40.1,81.0,10.0,5.0,82.0,12.0,1.0,2.0,2.0,2.0,3.0
"Dunn, NC",35.3686,-78.869314,23.612580768624625,44417.0,28.094780625818167,33.4,83.0,7.0,6.0,84.0,10.0,0.0,1.0,1.0,3.0,3.0
"Durango, CO",37.286558,-107.843336,22.80689749555221,58456.0,21.09119662625198,38.5,79.0,12.0,3.0,71.0,11.0,2.0,5.0,4.0,7.0,6.0
"Durant, OK",33.962299,-96.259748,19.203469013757324,38743.0,20.290615653744144,37.0,82.0,11.0,3.0,79.0,13.0,0.0,2.0,2.0,3.0,4.0
"Durham-Chapel Hill, NC",35.990862,-79.099657,22.424185167690126,52925.0,23.08968090471591,35.8,79.0,10.0,5.0,74.0,11.0,4.0,3.0,3.0,5.0,7.0
"Dyersburg, TN",36.059056,-89.413768,19.03152609472312,41426.0,19.57392263759086,40.4,83.0,11.0,2.0,90.0,7.0,0.0,1.0,1.0,2.0,1.0
"Eagle Pass, TX",28.74259,-100.314514,21.354806983034177,32536.0,20.480586756936965,30.0,89.0,7.0,2.0,77.0,16.0,1.0,3.0,3.0,1.0,3.0
"Easton, MD",38.7491,-76.178617,23.694332848961448,58495.0,26.25834569732938,48.2,89.0,5.0,3.0,80.0,9.0,0.0,2.0,1.0,7.0,9.0
"East Stroudsburg, PA",41.058068,-75.339476,27.076262381381174,57748.0,38.86715117526717,41.3,90.0,5.0,2.0,78.0,10.0,5.0,2.0,1.0,4.0,3.0
"Eau Claire, WI",44.9388,-91.28221,20.057734622605324,49537.0,19.13825697501808,36.2,84.0,9.0,5.0,80.0,8.0,1.0,4.0,2.0,6.0,3.0
"Edwards, CO",39.627826,-106.695299,25.04947542494646,73774.0,20.138179324532832,35.1,89.0,5.0,3.0,71.0,10.0,8.0,3.0,1.0,6.0,6.0
"Effingham, IL",39.05977,-88.589857,15.213655630656433,52374.0,17.792571182584098,39.2,89.0,7.0,3.0,84.0,9.0,0.0,2.0,2.0,4.0,2.0
"El Campo, TX",29.277862,-96.222104,18.346351686035437,41992.0,23.445497082779735,37.3,92.0,5.0,2.0,79.0,14.0,0.0,1.0,1.0,5.0,2.0
"El Centro, CA",33.039506,-115.36532,25.62482045389256,41772.0,21.454192115491395,31.9,83.0,13.0,2.0,80.0,11.0,1.0,2.0,2.0,4.0,4.0
"El Dorado, AR",33.171363,-92.597288,17.30560858572829,38762.0,17.718262598645374,39.7,86.0,10.0,2.0,88.0,8.0,0.0,2.0,2.0,1.0,3.0
"Elizabeth City, NC",36.259462,-76.275807,24.027401894451963,47296.0,26.915079334290258,39.8,87.0,5.0,4.0,80.0,12.0,0.0,2.0,3.0,3.0,3.0
"Elizabethtown-Fort Knox, KY",37.737741,-85.973888,19.820227492440914,48617.0,24.38451973888716,35.9,78.0,10.0,4.0,82.0,11.0,0.0,2.0,1.0,4.0,3.0
"Elk City, OK",35.268708,-99.681921,15.78721928733147,49027.0,18.467176889080523,34.7,84.0,6.0,3.0,86.0,10.0,0.0,1.0,1.0,2.0,2.0
"Elkhart-Goshen, IN",41.597384,-85.858755,20.126428708256178,46983.0,19.640297288279893,35.1,86.0,10.0,2.0,79.0,14.0,0.0,2.0,3.0,2.0,3.0
"Elkins, WV",38.774723,-79.875796,15.244358092960693,40146.0,20.56768166711578,43.3,91.0,4.0,4.0,80.0,13.0,0.0,4.0,1.0,2.0,4.0
"Elko, NV",40.921818,-115.533327,15.904275208774774,72207.0,29.294785300420667,33.6,84.0,10.0,1.0,63.0,15.0,11.0,6.0,1.0,3.0,2.0
"Ellensburg, WA",47.124171,-120.679723,24.26111086640532,45406.0,22.10533731612467,32.7,71.0,15.0,10.0,72.0,9.0,1.0,8.0,4.0,6.0,5.0
"Elmira, NY",42.141247,-76.760026,18.331488376773674,49685.0,18.804500134734575,40.9,86.0,10.0,3.0,84.0,7.0,2.0,3.0,1.0,3.0,4.0
"El Paso, TX",31.51308,-105.541003,22.614806260596083,40699.0,23.159789940497635,31.4,85.0,10.0,1.0,79.0,11.0,2.0,2.0,3.0,3.0,5.0
"Emporia, KS",38.456187,-96.15264,20.1548470081876,40427.0,17.102315630505913,32.3,76.0,13.0,6.0,77.0,13.0,0.0,4.0,1.0,4.0,3.0
"Enid, OK",36.379059,-97.782723,16.667380045370887,46726.0,16.315171017427147,36.5,79.0,13.0,3.0,83.0,11.0,0.0,1.0,1.0,3.0,5.0
"Enterprise, AL",31.402627,-85.988207,18.01659423152904,45558.0,21.04401228249744,38.2,85.0,6.0,4.0,85.0,10.0,0.0,1.0,1.0,3.0,3.0
"Erie, PA",42.117476,-80.098106,19.508566177275014,45703.0,18.732140945510842,38.7,85.0,10.0,2.0,80.0,10.0,2.0,4.0,1.0,3.0,4.0
"Escanaba, MI",45.791616,-86.870599,17.85595436177799,42070.0,18.697401623133057,46.3,88.0,7.0,2.0,81.0,10.0,1.0,3.0,2.0,3.0,6.0
"Española, NM",36.509571,-106.693109,15.529959880936975,38635.0,25.4917089678511,39.5,93.0,4.0,2.0,80.0,12.0,2.0,1.0,2.0,4.0,3.0
"Eugene, OR",43.941552,-122.87655,25.986036396932587,43685.0,19.739359475300027,39.2,78.0,15.0,3.0,71.0,10.0,3.0,5.0,5.0,6.0,7.0
"Eureka-Arcata-Fortuna, CA",40.70501,-123.915819,26.67425805992456,42153.0,17.51024225984473,37.4,80.0,13.0,5.0,73.0,9.0,1.0,7.0,3.0,7.0,8.0
"Evanston, WY",41.287492,-110.547562,15.513372983368354,56158.0,22.06515999577569,34.4,81.0,10.0,3.0,78.0,12.0,3.0,2.0,2.0,3.0,2.0
"Evansville, IN-KY",37.971108,-87.579083,19.68581971534001,47425.0,20.352170121796856,38.9,86.0,9.0,3.0,86.0,8.0,1.0,2.0,1.0,3.0,3.0
"Fairbanks, AK",64.807921,-146.563655,23.042836041358935,70408.0,19.39556354173121,30.6,73.0,14.0,3.0,74.0,14.0,1.0,3.0,3.0,4.0,6.0
"Fairfield, IA",41.03176,-91.948877,17.561761546723954,44688.0,15.055523507355062,42.7,88.0,7.0,2.0,69.0,7.0,0.0,6.0,3.0,13.0,8.0
"Fairmont, WV",39.509995,-80.243398,15.959150516421028,43085.0,25.027697395618024,41.3,90.0,5.0,3.0,84.0,8.0,1.0,3.0,1.0,4.0,4.0
"Fallon, NV",39.580876,-118.335779,22.236172745968176,46195.0,18.532119476268413,39.0,77.0,14.0,3.0,82.0,11.0,0.0,2.0,1.0,3.0,3.0
"Fargo, ND-MN",46.917816,-96.965511,18.704553082000224,53634.0,17.05030397952138,31.9,79.0,11.0,3.0,82.0,8.0,1.0,4.0,2.0,4.0,4.0
"Faribault-Northfield, MN",44.354264,-93.296679,20.47544106684337,60365.0,22.520187366728422,35.7,84.0,7.0,6.0,72.0,8.0,1.0,5.0,2.0,13.0,3.0
"Farmington, MO",37.810283,-90.472268,20.525136087095742,37476.0,24.25828609260562,38.9,80.0,11.0,7.0,84.0,13.0,0.0,1.0,1.0,1.0,2.0
"Farmington, NM",36.508471,-108.320595,16.61477961658201,48824.0,24.176173649671885,33.7,89.0,7.0,1.0,84.0,10.0,0.0,2.0,1.0,3.0,4.0
"Fayetteville, NC",35.036934,-78.980364,24.56815537456368,44692.0,21.73249070062719,31.0,79.0,10.0,3.0,83.0,9.0,1.0,3.0,1.0,3.0,4.0
"Fayetteville-Springdale-Rogers, AR-MO",36.196183,-94.12157,19.791473872539946,48627.0,21.048799563908705,33.5,80.0,12.0,3.0,80.0,11.0,1.0,2.0,1.0,4.0,3.0
"Fergus Falls, MN",46.408796,-95.708003,17.417606159406056,50914.0,20.671530263106145,46.7,89.0,6.0,3.0,77.0,11.0,1.0,4.0,1.0,5.0,3.0
"Fernley, NV",39.020398,-119.189197,24.2581083087627,47143.0,31.539584771411885,42.6,81.0,9.0,6.0,83.0,11.0,0.0,1.0,2.0,3.0,4.0
"Findlay, OH",41.001935,-83.666536,18.65805525654826,50166.0,17.010077094101003,38.9,84.0,9.0,4.0,83.0,9.0,0.0,3.0,1.0,3.0,3.0
"Fitzgerald, GA",31.759782,-83.220459,23.731357895767385,30643.0,16.532680880810904,38.6,88.0,7.0,3.0,82.0,12.0,0.0,2.0,2.0,2.0,2.0
"Flagstaff, AZ",35.838729,-111.770512,24.02966625463535,48540.0,18.257776362539385,31.0,80.0,10.0,5.0,68.0,12.0,2.0,8.0,4.0,5.0,6.0
"Flint, MI",43.021723,-83.706711,22.550681725924687,41879.0,25.71184373625495,39.1,85.0,11.0,3.0,85.0,9.0,1.0,1.0,1.0,3.0,5.0
"Florence, SC",34.152019,-79.80845,19.678902466009394,40673.0,22.924732133832002,38.6,86.0,9.0,3.0,85.0,9.0,0.0,1.0,1.0,3.0,4.0
"Florence-Muscle Shoals, AL",34.80821,-87.724001,18.263794460745725,41919.0,24.067017526103605,41.4,86.0,8.0,3.0,88.0,8.0,0.0,1.0,1.0,2.0,3.0
"Fond du Lac, WI",43.753589,-88.488263,18.969722532964113,54529.0,20.079931802226458,40.9,88.0,8.0,3.0,81.0,9.0,0.0,3.0,2.0,4.0,3.0
"Forest City, NC",35.402247,-81.920087,20.410709925942,36863.0,23.822722400857447,42.9,88.0,8.0,2.0,82.0,12.0,0.0,1.0,1.0,4.0,4.0
"Fort Collins, CO",40.666417,-105.461144,23.492624566650804,58844.0,22.623770215285475,35.5,79.0,12.0,4.0,76.0,8.0,1.0,3.0,5.0,7.0,6.0
"Fort Dodge, IA",42.427966,-94.181788,17.52469604863222,42112.0,15.931630353117956,39.9,84.0,7.0,6.0,84.0,8.0,0.0,3.0,2.0,4.0,5.0
"Fort Leonard Wood, MO",37.824625,-92.207663,21.288605757600195,49604.0,18.08941305540318,26.9,59.0,6.0,5.0,53.0,10.0,0.0,1.0,1.0,35.0,3.0
"Fort Madison-Keokuk, IA-IL-MO",40.474572,-91.413096,16.305605335390062,44083.0,20.112260248213616,43.6,89.0,7.0,2.0,83.0,8.0,0.0,3.0,1.0,5.0,2.0
"Fort Morgan, CO",40.262744,-103.809822,19.65255392337148,46223.0,16.921502528292802,36.5,81.0,11.0,6.0,76.0,16.0,0.0,3.0,1.0,4.0,3.0
"Fort Polk South, LA",31.108294,-93.184147,18.639981223462136,46867.0,20.37334232411778,29.9,78.0,7.0,2.0,82.0,10.0,0.0,4.0,2.0,2.0,2.0
"Fort Smith, AR-OK",35.190491,-94.566083,19.591584477119977,38833.0,20.452221749712724,38.1,85.0,9.0,3.0,84.0,11.0,0.0,2.0,1.0,2.0,4.0
"Fort Wayne, IN",41.0054,-85.216774,18.094220573709354,49607.0,20.850706029231333,36.2,87.0,10.0,2.0,85.0,8.0,1.0,1.0,1.0,4.0,4.0
"Frankfort, IN",40.301691,-86.47516,18.264913728885222,49669.0,23.376211392316808,38.0,86.0,9.0,3.0,80.0,14.0,0.0,1.0,2.0,2.0,1.0
"Frankfort, KY",38.123902,-84.932889,20.071920271242167,48665.0,20.826046119963724,40.0,82.0,10.0,5.0,82.0,13.0,1.0,1.0,1.0,2.0,4.0
"Fredericksburg, TX",30.318055,-98.946481,18.361506467737627,52414.0,18.22669977081742,50.2,86.0,8.0,4.0,74.0,15.0,0.0,3.0,3.0,5.0,5.0
"Freeport, IL",42.351747,-89.66236,18.87477313974592,44631.0,20.256134739367283,44.2,87.0,8.0,4.0,80.0,10.0,1.0,3.0,2.0,5.0,2.0
"Fremont, NE",41.577886,-96.653983,18.1534037632056,47991.0,17.884149157238515,39.8,84.0,10.0,4.0,84.0,9.0,0.0,3.0,1.0,3.0,2.0
"Fremont, OH",41.357416,-83.143916,18.716241133213302,46099.0,19.708056171470805,41.2,88.0,7.0,3.0,85.0,8.0,1.0,3.0,1.0,2.0,4.0
"Fresno, CA",36.758179,-119.64932,26.627729475011613,45201.0,22.15693079249563,31.2,84.0,13.0,2.0,77.0,12.0,1.0,2.0,3.0,4.0,4.0
"Gadsden, AL",34.045254,-86.034762,19.93396937634856,38467.0,23.79767257339328,40.5,85.0,10.0,4.0,87.0,9.0,0.0,0.0,0.0,4.0,2.0
"Gaffney, SC",35.048203,-81.620391,19.639878041764945,34766.0,20.865318033435553,38.4,88.0,8.0,2.0,85.0,10.0,0.0,1.0,1.0,2.0,4.0
"Gainesville, FL",29.688461,-82.476511,25.766783441767355,41961.0,20.510047526254066,31.0,76.0,13.0,7.0,74.0,10.0,4.0,3.0,5.0,4.0,7.0
"Gainesville, GA",34.316889,-83.819681,22.572301904537973,51036.0,25.922123733719246,35.2,86.0,8.0,4.0,79.0,13.0,0.0,1.0,2.0,4.0,5.0
"Gainesville, TX",33.6392,-97.212626,17.711139744640974,51222.0,25.50934746368183,39.4,85.0,7.0,5.0,78.0,16.0,0.0,1.0,1.0,4.0,3.0
"Galesburg, IL",40.931817,-90.213259,18.814070351758794,39800.0,18.826270779283174,41.5,88.0,6.0,4.0,84.0,8.0,1.0,4.0,1.0,2.0,4.0
"Gallup, NM",35.580614,-108.261927,15.537367503018917,29812.0,23.09778437292125,30.7,93.0,4.0,1.0,73.0,11.0,0.0,4.0,2.0,11.0,4.0
"Garden City, KS",38.026636,-100.970466,18.8424860243341,48656.0,15.68395866211882,30.8,84.0,10.0,3.0,78.0,15.0,0.0,3.0,1.0,3.0,3.0
"Gardnerville Ranchos, NV",38.912241,-119.616372,23.0675262979301,58940.0,24.454717377600335,48.5,86.0,7.0,2.0,78.0,12.0,0.0,2.0,2.0,6.0,4.0
