id,id_out,year,count
WES,CNA,1875,1
WES,HNA,1875,1
WES,KEK,1875,3
WES,MAR,1875,1
WES,NAT,1875,1
WES,OLY,1875,1
WNT,BLC,1875,2
WNT,BRA,1875,1
WNT,CFC,1875,1
WNT,HNA,1875,2
WNT,KEK,1875,1
WNT,MAR,1875,2
WNT,NAT,1875,2
WNT,OLY,1875,2
WNT,RES,1875,1
WNT,WBL,1875,2
ATH,BLC,1876,2
ATH,BNA,1876,1
ATH,BRA,1876,1
ATH,CEN,1876,1
ATH,CFC,1876,1
ATH,CNA,1876,5
ATH,ECK,1876,1
ATH,KEK,1876,1
ATH,NNA,1876,2
ATH,OLY,1876,2
ATH,PNA,1876,9
ATH,PWS,1876,4
ATH,TRO,1876,2
ATL,BLC,1876,1
ATL,BNA,1876,6
ATL,CEN,1876,1
ATL,HNA,1876,1
ATL,MAN,1876,2
ATL,NHV,1876,3
ATL,OLY,1876,1
ATL,PNA,1876,2
ATL,PWS,1876,3
ATL,WNT,1876,1
CHC,BLC,1876,2
CHC,BNA,1876,5
CHC,CFC,1876,1
CHC,CNA,1876,4
CHC,HNA,1876,1
CHC,NAT,1876,3
CHC,OLY,1876,1
CHC,PNA,1876,1
CHC,PWS,1876,1
CHC,ROK,1876,2
CHC,WBL,1876,3
CNR,BLC,1876,3
CNR,BNA,1876,2
CNR,BRA,1876,3
CNR,CEN,1876,1
CNR,CFC,1876,1
CNR,CNA,1876,1
CNR,HNA,1876,2
CNR,NHV,1876,1
CNR,OLY,1876,1
CNR,PNA,1876,1
CNR,PWS,1876,1
CNR,ROK,1876,1
CNR,SLR,1876,1
CNR,WES,1876,1
CNR,WNT,1876,1
HAR,BLC,1876,5
HAR,BRA,1876,5
HAR,CNA,1876,1
HAR,ECK,1876,1
HAR,HNA,1876,10
HAR,KEK,1876,1
HAR,NHV,1876,1
HAR,NNA,1876,7
HAR,OLY,1876,2
HAR,PWS,1876,2
HAR,RES,1876,1
HAR,TRO,1876,2
LGR,BLC,1876,4
LGR,BRA,1876,2
LGR,CEN,1876,2
LGR,CFC,1876,2
LGR,CNA,1876,3
LGR,ECK,1876,1
LGR,HNA,1876,2
LGR,NHV,1876,2
LGR,NNA,1876,3
LGR,PNA,1876,1
LGR,PWS,1876,5
LGR,RES,1876,2
LGR,ROK,1876,2
LGR,SNA,1876,2
LGR,WBL,1876,2
LGR,WES,1876,1
LGR,WNT,1876,1
NYU,BLC,1876,3
NYU,BRA,1876,3
NYU,CEN,1876,3
NYU,CFC,1876,1
NYU,CNA,1876,3
NYU,ECK,1876,1
NYU,KEK,1876,3
NYU,MAN,1876,1
NYU,NNA,1876,9
NYU,OLY,1876,2
NYU,PNA,1876,5
NYU,PWS,1876,5
NYU,RES,1876,1
NYU,SNA,1876,1
NYU,TRO,1876,2
NYU,WES,1876,1
SBS,BLC,1876,1
SBS,BRA,1876,2
SBS,CFC,1876,1
SBS,CNA,1876,1
SBS,HNA,1876,1
SBS,MAN,1876,1
SBS,NNA,1876,1
SBS,PNA,1876,5
SBS,PWS,1876,3
SBS,ROK,1876,1
SBS,SLR,1876,1
SBS,SNA,1876,6
SBS,TRO,1876,2
ATL,ATH,1877,1
ATL,BNA,1877,6
ATL,BRA,1877,1
ATL,CFC,1877,2
ATL,CHC,1877,1
ATL,HAR,1877,1
ATL,HNA,1877,1
ATL,MAN,1877,2
ATL,OLY,1877,1
ATL,PNA,1877,2
ATL,PWS,1877,1
CHC,ATH,1877,1
CHC,BLC,1877,2
CHC,BNA,1877,3
CHC,CNA,1877,4
CHC,CNR,1877,2
CHC,HNA,1877,3
CHC,KEK,1877,2
CHC,NAT,1877,2
CHC,NNA,1877,2
CHC,NYU,1877,1
CHC,OLY,1877,1
CHC,PNA,1877,3
CHC,PWS,1877,2
CHC,ROK,1877,2
CHC,SBS,1877,1
CHC,SNA,1877,2
CHC,WBL,1877,2
CHC,WES,1877,3
CNR,ATH,1877,1
CNR,ATL,1877,1
CNR,BLC,1877,7
CNR,BNA,1877,3
CNR,BRA,1877,1
CNR,CFC,1877,1
CNR,CHC,1877,1
CNR,CNA,1877,4
CNR,HAR,1877,1
CNR,HNA,1877,6
CNR,KEK,1877,2
CNR,LGR,1877,2
CNR,NHV,1877,2
CNR,NNA,1877,4
CNR,NYU,1877,3
CNR,PNA,1877,2
CNR,PWS,1877,6
CNR,ROK,1877,2
CNR,SBS,1877,2
CNR,SLR,1877,1
CNR,SNA,1877,2
CNR,TRO,1877,1
CNR,WES,1877,2
HAR,BLC,1877,2
HAR,BRA,1877,4
HAR,CFC,1877,2
HAR,ECK,1877,2
HAR,HNA,1877,6
HAR,KEK,1877,1
HAR,NHV,1877,1
HAR,NNA,1877,6
HAR,NYU,1877,4
HAR,OLY,1877,1
HAR,PWS,1877,2
HAR,RES,1877,1
HAR,TRO,1877,2
LGR,ATH,1877,2
LGR,BLC,1877,4
LGR,BNA,1877,2
LGR,BRA,1877,1
LGR,CEN,1877,1
LGR,CNA,1877,1
LGR,HNA,1877,1
LGR,NHV,1877,1
LGR,NNA,1877,2
LGR,NYU,1877,2
LGR,OLY,1877,1
LGR,PNA,1877,2
LGR,PWS,1877,5
LGR,SNA,1877,1
LGR,TRO,1877,1
LGR,WBL,1877,2
SBS,ATH,1877,1
SBS,ATL,1877,1
SBS,BLC,1877,1
SBS,BRA,1877,3
SBS,CFC,1877,1
SBS,CNA,1877,1
SBS,HAR,1877,1
SBS,HNA,1877,1
SBS,MAN,1877,1
SBS,NHV,1877,1
SBS,NNA,1877,2
SBS,NYU,1877,1
SBS,OLY,1877,1
SBS,PNA,1877,4
SBS,PWS,1877,1
SBS,SLR,1877,2
SBS,SNA,1877,3
SBS,TRO,1877,2
ATL,ATH,1878,1
ATL,BLC,1878,2
ATL,BNA,1878,5
ATL,BRA,1878,2
ATL,CFC,1878,1
ATL,CNR,1878,1
ATL,HAR,1878,2
ATL,HNA,1878,3
ATL,LGR,1878,1
ATL,MAN,1878,1
ATL,NNA,1878,1
ATL,OLY,1878,1
ATL,PNA,1878,1
ATL,PWS,1878,1
ATL,WBL,1878,1
CHC,BNA,1878,1
CHC,BRA,1878,3
CHC,CNR,1878,1
CHC,HAR,1878,6
CHC,HNA,1878,3
CHC,KEK,1878,1
CHC,NHV,1878,1
CHC,NNA,1878,4
CHC,NYU,1878,3
CHC,PNA,1878,1
CHC,ROK,1878,1
CHC,SBS,1878,1
CHC,WES,1878,1
CNR,ATL,1878,2
CNR,BLC,1878,3
CNR,BNA,1878,2
CNR,CFC,1878,1
CNR,CHC,1878,3
CNR,HNA,1878,2
CNR,LGR,1878,1
CNR,NHV,1878,1
CNR,NNA,1878,2
CNR,SBS,1878,1
CNR,SNA,1878,1
CNR,TRO,1878,1
CNR,WBL,1878,1
CNR,WES,1878,1
IBL,ATH,1878,1
IBL,CEN,1878,1
IBL,CFC,1878,1
IBL,CHC,1878,1
IBL,CNR,1878,1
IBL,ECK,1878,1
IBL,HNA,1878,1
IBL,KEK,1878,1
IBL,LGR,1878,1
IBL,MAN,1878,1
IBL,NNA,1878,3
IBL,NYU,1878,1
IBL,PNA,1878,1
IBL,PWS,1878,1
IBL,SBS,1878,2
IBL,SLR,1878,2
IBL,TRO,1878,1
IBL,WES,1878,1
MLG,BRA,1878,1
MLG,CHC,1878,1
MLG,CNA,1878,3
MLG,CNR,1878,2
MLG,LGR,1878,1
MLG,PWS,1878,1
MLG,SLR,1878,3
MLG,WES,1878,1
PRO,ATL,1878,3
PRO,BLC,1878,6
PRO,BNA,1878,1
PRO,BRA,1878,1
PRO,CFC,1878,1
PRO,CHC,1878,2
PRO,CNA,1878,2
PRO,CNR,1878,3
PRO,ECK,1878,1
PRO,HAR,1878,4
PRO,HNA,1878,5
PRO,KEK,1878,1
PRO,LGR,1878,1
PRO,MAN,1878,1
PRO,NAT,1878,1
