season,series,city,country,year,month,day,round,group,num_skater,name,nationality,rank_in_group,start_position,time,qualification,rank_lap1,time_lap1,rank_lap2,time_lap2,rank_lap3,time_lap3,rank_lap4,time_lap4,rank_lap5,time_lap5,time_event
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,1,175,Vladimir GRIGOREV,RUS,1,4,40.344,Q,3,6.91,1,8.47,1,8.2,1,8.26,1,8.51,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,1,100,HAMELIN Francois,CAN,2,2,40.443,Q,1,6.69,2,8.78,2,8.25,2,8.24,2,8.49,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,1,138,Anthony LOBELLO,ITA,3,1,42.024,q,2,6.87,3,9.05,3,8.51,3,8.68,3,8.92,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,1,182,Myukerrem TOP,TUR,4,5,44.081,NA,5,7.3,4,9.7,4,8.96,4,8.97,4,9.16,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,1,92,Ronald CALDECUTT,AUS,NA,3,NA,PEN,4,7.0,5,18.98,5,10.55,5,10.02,NA,NA,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,2,190,J R CELSKI,USA,1,2,40.502,Q,1,6.69,1,8.66,1,8.25,1,8.33,1,8.58,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,2,180,BLACKBURN Mackenzie,TPE,2,3,41.714,Q,2,6.8,2,8.81,2,8.43,2,8.54,2,9.14,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,2,149,BEKZHANOV Aydar,KAZ,3,5,41.78,q,5,7.2,4,8.74,4,8.36,4,8.46,3,9.02,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,2,183,Valentyn DANILOVSKYI,UKR,4,4,42.857,NA,4,7.03,5,9.11,5,8.66,5,8.87,4,9.19,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,2,120,Paul STANLEY,GBR,NA,1,NA,PEN,3,6.93,3,8.79,3,8.35,3,8.52,NA,NA,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,3,106,LIANG Wenhao,CHN,1,1,41.52,Q,1,6.97,1,8.86,1,8.39,1,8.55,1,8.75,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,3,141,Takayuki MURATAKE,JPN,2,5,42.069,Q,5,7.39,3,9.06,3,8.55,3,8.41,2,8.66,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,3,168,Adam FILIPOWICZ,POL,3,3,43.057,NA,2,7.03,2,9.02,2,8.5,2,8.65,3,9.86,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,3,184,Viktor KOROLOV,UKR,4,4,43.567,NA,3,7.22,4,9.36,4,8.84,4,8.95,4,9.2,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,3,160,Jekabs SAULITIS,LAT,5,2,44.283,NA,4,7.23,5,9.43,5,9.08,5,9.13,5,9.42,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,4,101,Olivier JEAN,CAN,1,3,41.093,Q,1,6.84,1,8.87,1,8.28,1,8.43,1,8.68,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,4,146,WATANABE Keita,JPN,2,1,42.653,Q,2,7.1,2,9.14,2,8.65,2,8.76,2,9.01,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,4,114,JEANNE Vincent,FRA,3,2,42.954,NA,3,7.19,3,9.24,3,8.7,3,8.86,3,8.97,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,4,129,BURJAN Csaba,HUN,4,4,43.418,NA,5,7.46,5,9.16,5,8.7,5,8.88,4,9.22,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,4,140,VISCARDI Davide,ITA,5,5,44.03,NA,4,7.33,4,9.21,4,8.72,4,8.85,5,9.92,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,5,193,KRUEGER John-Henry,USA,1,2,41.338,Q,1,6.82,1,8.93,1,8.43,1,8.53,1,8.63,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,5,163,Niels KERSTHOLT,NED,2,4,41.41,Q,3,7.18,3,8.89,2,8.41,2,8.4,2,8.53,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,5,91,BODA Pierre,AUS,3,3,42.047,NA,2,7.01,2,8.95,3,8.58,3,8.68,3,8.83,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,5,152,ZHUMAGAZIYEV Nurbergen,KAZ,4,5,42.267,NA,5,7.43,4,9.03,4,8.43,4,8.5,4,8.88,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,5,109,Jakub APELTAUER,CZE,5,1,44.137,NA,4,7.28,5,9.66,5,8.93,5,9.06,5,9.21,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,6,99,HAMELIN Charles,CAN,1,4,40.862,Q,1,6.84,1,8.64,1,8.3,1,8.47,1,8.62,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,6,153,KIM Byeong-Jun,KOR,2,2,41.266,Q,2,6.84,2,8.91,2,8.38,2,8.51,2,8.63,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,6,145,Daisuke UEMURA,JPN,3,5,42.852,NA,5,7.27,3,9.16,3,8.72,3,8.79,3,8.92,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,6,169,Jakub JAWORSKI,POL,4,1,82.201,NA,3,7.12,4,15.86,5,36.02,5,13.02,4,10.19,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,6,179,Jose CAVALLI,SUI,NA,3,NA,PEN,4,7.27,5,19.27,4,18.07,4,11.99,NA,NA,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,7,156,LEE Han-Bin,KOR,1,2,42.137,Q,1,6.79,1,8.97,2,8.7,1,8.75,1,8.93,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,7,194,Jeff SIMON,USA,2,5,42.258,Q,5,7.19,5,9.13,3,8.43,3,8.56,2,8.95,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,7,118,SHOEBRIDGE Richard,GBR,3,4,42.342,NA,3,7.05,2,8.88,1,8.53,2,8.82,3,9.07,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,7,176,Viacheslav KURGINIAN,RUS,4,3,42.515,NA,4,7.08,4,9.11,4,8.6,4,8.94,4,8.79,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,7,116,Jeremy MASSON,FRA,5,1,42.686,NA,2,6.99,3,9.14,5,8.86,5,8.84,5,8.86,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,8,117,Jon ELEY,GBR,1,1,41.69,Q,1,6.88,1,8.9,1,8.49,1,8.6,1,8.82,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,8,125,Torsten KROEGER,GER,2,4,42.259,Q,4,7.36,4,8.97,4,8.46,2,8.59,2,8.88,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,8,128,Bence BERES,HUN,3,2,42.791,ADV,2,7.08,2,9.04,2,8.49,4,9.17,3,9.02,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,8,133,Kirath SINGH,IND,4,5,46.474,NA,5,7.59,5,9.82,5,9.56,5,9.63,4,9.88,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,8,107,YU Jiyang,CHN,NA,3,NA,PEN,3,7.14,3,9.1,3,8.4,3,8.95,NA,NA,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,9,123,Paul HERRMANN,GER,1,2,42.119,Q,3,7.14,3,8.95,3,8.51,3,8.61,1,8.91,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,9,113,FAUCONNET Thibaut,FRA,2,4,42.145,Q,2,6.9,2,8.97,1,8.53,1,8.64,2,9.11,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,9,162,BREEUWSMA Daan,NED,3,1,42.224,ADV,1,6.8,1,9.06,2,8.66,2,8.61,3,9.1,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,9,151,NIKISHA Denis,KAZ,4,3,43.053,NA,4,7.27,4,9.08,4,8.71,4,8.84,4,9.16,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,9,95,Armstrong LAZENBY,AUS,5,5,43.914,NA,5,7.42,5,9.17,5,8.91,5,9.04,5,9.38,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,10,166,Freek van der WART,NED,1,4,42.338,Q,2,7.32,2,9.01,2,8.48,1,8.66,1,8.87,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,10,171,Bartosz KONOPKO,POL,2,3,42.771,Q,1,6.86,1,9.1,1,8.77,2,8.91,2,9.14,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,10,130,LIU Shaolin Sandor,HUN,3,1,43.565,NA,4,7.53,3,9.3,3,8.66,3,8.86,3,9.22,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,10,90,Jose Ignacio FAZIO,ARG,4,2,45.933,NA,3,7.52,4,9.56,4,9.28,4,9.59,4,9.99,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,11,104,GONG Qiuwen,CHN,1,4,42.446,Q,2,6.97,2,9.06,2,8.57,1,8.76,1,9.09,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,11,177,Eduard STRELKOV,RUS,2,3,42.541,Q,1,6.88,1,9.05,1,8.63,2,8.83,2,9.16,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,11,158,SIN da Woon,KOR,3,1,42.562,NA,4,7.46,4,9.01,4,8.44,3,8.55,3,9.11,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,11,185,Serhiy LIFYRENKO,UKR,4,2,42.772,NA,3,7.11,3,9.03,3,8.63,4,8.84,4,9.17,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,11,139,Edoardo REGGIANI,ITA,5,5,82.165,NA,5,7.58,5,9.12,5,8.53,5,36.36,5,20.58,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,1,175,Vladimir GRIGOREV,RUS,1,1,40.436,Q,1,6.79,1,8.62,1,8.22,1,8.26,1,8.55,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,1,100,HAMELIN Francois,CAN,2,2,40.788,Q,2,6.91,2,8.74,2,8.21,2,8.42,2,8.51,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,1,153,KIM Byeong-Jun,KOR,3,3,41.119,NA,4,7.05,4,9.11,3,8.19,3,8.33,3,8.44,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,1,162,BREEUWSMA Daan,NED,4,5,41.523,NA,5,7.17,5,9.07,5,8.35,4,8.34,4,8.6,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,1,138,Anthony LOBELLO,ITA,5,4,42.285,NA,3,6.93,3,9.09,4,8.47,5,8.58,5,9.22,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,2,156,LEE Han-Bin,KOR,1,3,40.789,Q,2,6.95,2,8.88,2,8.21,1,8.25,1,8.5,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,2,101,Olivier JEAN,CAN,2,1,40.956,Q,1,6.84,1,8.88,1,8.24,2,8.35,2,8.65,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,2,141,Takayuki MURATAKE,JPN,3,2,40.968,q,3,7.04,3,8.87,3,8.21,3,8.31,3,8.54,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,2,171,Bartosz KONOPKO,POL,4,4,41.606,NA,4,7.15,4,8.91,4,8.34,4,8.44,4,8.77,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,3,99,HAMELIN Charles,CAN,1,1,40.367,Q,1,6.62,1,8.69,1,8.22,1,8.33,1,8.51,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,3,180,BLACKBURN Mackenzie,TPE,2,2,40.83,Q,2,6.74,2,8.73,2,8.36,2,8.43,2,8.57,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,3,166,Freek van der WART,NED,3,3,41.018,q,3,6.96,3,8.76,3,8.31,3,8.4,3,8.59,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,3,146,WATANABE Keita,JPN,4,4,42.502,NA,4,7.24,4,8.94,4,8.62,4,8.7,4,9.01,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,4,193,KRUEGER John-Henry,USA,1,1,40.97,Q,1,6.78,1,8.81,1,8.33,1,8.42,1,8.63,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,4,177,Eduard STRELKOV,RUS,2,4,41.328,Q,2,6.94,2,8.87,2,8.4,2,8.47,2,8.65,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,4,113,FAUCONNET Thibaut,FRA,3,3,41.348,NA,4,7.38,4,8.83,4,8.34,3,8.3,3,8.5,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,4,123,Paul HERRMANN,GER,4,2,41.582,NA,3,7.27,3,8.87,3,8.31,4,8.55,4,8.59,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,5,106,LIANG Wenhao,CHN,1,1,41.39,Q,1,6.87,1,8.91,1,8.35,1,8.53,1,8.73,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,5,125,Torsten KROEGER,GER,2,4,41.472,Q,4,7.21,4,8.91,4,8.28,2,8.44,2,8.64,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,5,194,Jeff SIMON,USA,3,3,73.256,NA,3,7.07,3,8.95,3,8.27,3,27.35,3,21.62,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,5,117,Jon ELEY,GBR,4,2,77.042,ADV,2,6.97,2,8.92,2,8.33,4,31.81,4,21.02,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,6,190,J R CELSKI,USA,1,1,41.036,Q,1,6.75,1,8.83,1,8.36,1,8.46,1,8.64,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,6,163,Niels KERSTHOLT,NED,2,2,41.321,Q,2,6.91,2,9.01,2,8.35,2,8.4,2,8.66,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,6,104,GONG Qiuwen,CHN,3,4,41.422,NA,3,7.03,3,8.99,3,8.33,3,8.43,3,8.65,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,6,149,BEKZHANOV Aydar,KAZ,4,3,41.671,NA,5,7.19,5,9.02,5,8.48,5,8.38,4,8.61,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Heats,6,128,Bence BERES,HUN,5,5,41.957,NA,4,7.19,4,8.96,4,8.39,4,8.52,5,8.9,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Quarterfinals,1,101,Olivier JEAN,CAN,1,1,40.735,Q,1,6.78,1,8.75,1,8.32,1,8.37,1,8.52,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Quarterfinals,1,190,J R CELSKI,USA,2,3,40.997,Q,3,6.91,2,8.78,2,8.26,2,8.37,2,8.68,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Quarterfinals,1,141,Takayuki MURATAKE,JPN,3,2,41.845,NA,2,6.9,3,8.98,3,8.4,3,8.68,3,8.89,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Quarterfinals,1,177,Eduard STRELKOV,RUS,4,4,72.048,NA,4,7.16,4,9.02,4,29.36,4,13.95,4,12.56,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Quarterfinals,2,175,Vladimir GRIGOREV,RUS,1,1,40.458,Q,2,6.77,1,8.58,1,8.22,1,8.3,1,8.59,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Quarterfinals,2,100,HAMELIN Francois,CAN,2,2,40.864,Q,1,6.64,2,8.83,2,8.29,2,8.37,2,8.74,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Quarterfinals,2,153,KIM Byeong-Jun,KOR,3,4,41.594,NA,4,7.13,3,8.75,3,8.42,3,8.49,3,8.81,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Quarterfinals,2,180,BLACKBURN Mackenzie,TPE,4,3,41.776,NA,3,7.01,4,8.9,4,8.51,4,8.48,4,8.88,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Quarterfinals,2,113,FAUCONNET Thibaut,FRA,5,5,45.424,NA,5,7.23,5,8.81,5,9.44,5,9.52,5,10.43,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Quarterfinals,3,193,KRUEGER John-Henry,USA,1,2,41.793,Q,2,6.92,2,8.99,2,8.57,2,8.66,1,8.66,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Quarterfinals,3,156,LEE Han-Bin,KOR,2,1,41.922,Q,1,6.83,1,9.02,1,8.56,1,8.63,2,8.89,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Quarterfinals,3,166,Freek van der WART,NED,3,3,41.972,NA,3,7.08,3,8.93,3,8.61,3,8.67,3,8.69,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Quarterfinals,3,125,Torsten KROEGER,GER,4,4,42.607,NA,4,7.36,4,8.99,4,8.61,4,8.67,4,8.98,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Quarterfinals,4,99,HAMELIN Charles,CAN,1,1,41.007,Q,1,6.78,1,8.77,1,8.28,1,8.49,1,8.69,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Quarterfinals,4,106,LIANG Wenhao,CHN,2,3,41.44,Q,4,7.17,4,9.01,4,8.31,2,8.35,2,8.6,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Quarterfinals,4,117,Jon ELEY,GBR,3,4,41.948,NA,3,6.93,3,9.14,2,8.31,4,8.8,3,8.77,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Quarterfinals,4,163,Niels KERSTHOLT,NED,4,2,65.842,NA,2,6.89,2,9.01,3,8.49,3,8.65,4,32.81,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Semifinals,1,190,J R CELSKI,USA,1,2,40.693,QA,2,6.79,2,8.78,2,8.28,1,8.44,1,8.41,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Semifinals,1,99,HAMELIN Charles,CAN,2,3,40.852,QA,3,6.89,3,8.75,3,8.25,2,8.47,2,8.5,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Semifinals,1,101,Olivier JEAN,CAN,3,1,41.052,QB,1,6.71,1,8.77,1,8.36,3,8.56,3,8.66,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Semifinals,1,106,LIANG Wenhao,CHN,4,4,41.086,QB,4,7.0,4,8.79,4,8.21,4,8.59,4,8.5,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Semifinals,2,175,Vladimir GRIGOREV,RUS,1,1,40.79,QA,2,6.93,2,8.8,2,8.34,1,8.3,1,8.42,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Semifinals,2,193,KRUEGER John-Henry,USA,2,3,40.954,QA,4,7.1,3,8.79,3,8.32,3,8.24,2,8.51,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Semifinals,2,156,LEE Han-Bin,KOR,3,4,41.109,QB,3,6.99,4,9.02,4,8.31,4,8.21,3,8.58,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Semifinals,2,100,HAMELIN Francois,CAN,4,2,50.83,QB,1,6.77,1,8.86,1,8.35,2,8.46,4,18.39,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,FinalB,1,101,Olivier JEAN,CAN,1,1,40.638,NA,1,6.78,1,8.8,1,8.25,1,8.33,1,8.48,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,FinalB,1,106,LIANG Wenhao,CHN,2,2,40.796,NA,2,7.02,2,8.71,2,8.19,2,8.31,2,8.57,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,FinalB,1,100,HAMELIN Francois,CAN,3,4,40.814,NA,3,7.1,3,8.88,3,8.2,3,8.25,3,8.39,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,FinalB,1,156,LEE Han-Bin,KOR,4,3,40.984,NA,4,7.12,4,8.98,4,8.19,4,8.26,4,8.44,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,FinalA,1,190,J R CELSKI,USA,1,1,39.937,NA,2,6.72,2,8.49,2,8.1,2,8.19,1,8.44,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,FinalA,1,99,HAMELIN Charles,CAN,2,3,40.42,NA,3,6.79,3,8.53,3,8.05,3,8.26,2,8.79,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,FinalA,1,193,KRUEGER John-Henry,USA,3,4,40.588,NA,4,6.99,4,8.53,4,8.13,4,8.22,3,8.72,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,FinalA,1,175,Vladimir GRIGOREV,RUS,4,2,41.949,NA,1,6.59,1,8.46,1,8.19,1,8.25,4,10.46,2012.8
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,1,156,LEE Han-Bin,KOR,1,2,43.4,Q,1,6.91,1,9.17,1,8.84,1,9.09,1,9.39,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,1,163,Niels KERSTHOLT,NED,2,5,43.432,Q,3,7.1,4,9.27,4,8.95,4,8.9,2,9.22,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,1,177,Dmitry MIGUNOV,RUS,3,3,43.63,NA,4,7.2,2,9.05,2,8.84,2,8.94,3,9.6,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,1,92,Ronald CALDECUTT,AUS,4,4,44.728,NA,5,7.33,5,9.35,5,9.1,5,9.21,4,9.74,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,1,113,FAUCONNET Thibaut,FRA,NA,1,NA,PEN,2,7.1,3,9.19,3,8.85,3,9.02,NA,NA,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,2,107,YU Jiyang,CHN,1,1,42.925,Q,1,6.81,1,9.12,1,8.9,1,8.97,1,9.13,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,2,180,BLACKBURN Mackenzie,TPE,2,3,43.014,Q,2,6.94,2,9.13,2,8.9,2,8.96,2,9.09,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,2,145,Daisuke UEMURA,JPN,3,5,43.098,q,5,7.45,3,9.12,3,8.8,3,8.82,3,8.91,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,2,109,Robin van STEEN,BEL,4,2,44.346,NA,3,7.2,4,9.52,4,9.05,4,9.14,4,9.44,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,2,175,Vladimir GRIGOREV,RUS,5,4,70.324,NA,4,7.26,5,26.89,5,13.33,5,11.18,5,11.67,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,3,106,LIANG Wenhao,CHN,1,1,42.307,Q,1,6.92,1,9.07,1,8.62,1,8.77,1,8.93,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,3,160,Jekabs SAULITIS,LAT,2,3,42.932,Q,2,7.07,2,9.2,2,8.76,2,8.84,2,9.07,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,3,158,SIN da Woon,KOR,3,5,43.325,q,5,7.69,4,9.3,4,8.72,3,8.66,3,8.96,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,3,185,Serhiy LIFYRENKO,UKR,4,2,43.836,NA,3,7.19,3,9.36,3,8.9,4,9.07,4,9.32,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,3,84,Teerit VONGKOVIT,THA,5,4,47.618,NA,4,7.69,5,9.79,5,9.65,5,9.91,5,10.58,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,4,153,KIM Byeong-Jun,KOR,1,3,43.115,Q,3,7.32,3,9.25,2,8.71,1,8.79,1,9.05,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,4,191,Chris CREVELING,USA,2,5,43.194,Q,2,7.27,4,9.43,3,8.61,2,8.89,2,9.0,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,4,152,ZHUMAGAZIYEV Nurbergen,KAZ,3,1,43.503,NA,1,7.1,1,9.29,1,8.82,3,9.02,3,9.28,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,4,162,BREEUWSMA Daan,NED,4,2,43.544,NA,4,7.33,2,9.18,4,8.88,4,9.05,4,9.11,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,4,170,Sebastian KLOSINSKI,POL,5,4,44.827,NA,5,7.44,5,9.73,5,9.11,5,9.18,5,9.37,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,5,99,HAMELIN Charles,CAN,1,5,42.631,Q,2,7.14,1,8.95,1,8.68,1,8.83,1,9.04,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,5,128,Bence BERES,HUN,2,4,44.068,Q,4,7.47,3,9.3,3,8.95,3,8.97,2,9.38,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,5,114,JEANNE Vincent,FRA,3,3,44.466,NA,3,7.39,4,9.39,4,8.98,4,9.2,3,9.51,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,5,148,AZHGALIYEV Abzal,KAZ,4,2,44.626,NA,5,7.51,5,9.51,5,8.89,5,9.06,4,9.66,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,5,168,Adam FILIPOWICZ,POL,5,1,44.846,NA,1,7.05,2,9.37,2,9.04,2,9.23,5,10.16,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,6,100,HAMELIN Francois,CAN,1,4,42.282,Q,1,6.83,1,8.89,1,8.61,1,8.82,1,9.14,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,6,120,Paul STANLEY,GBR,2,2,42.916,Q,2,6.9,2,8.97,2,8.79,2,9.01,2,9.25,2012.82
2012/2013,World Cup,Montreal,CAN,2012,10,26,Preliminaries,6,130,LIU Shaolin Sandor,HUN,3,3,44.073,NA,4,7.38,3,9.1,3,8.96,3,9.06,3,9.58,2012.82
