name,state,breast,colorectal,prostate,lung,melanoma,poverty,income,region,lat,lon
camden,ga,119,42.5,128.7,67.4,19.1,15.6,49098,south_atlantic,30.92249,-81.636389
carroll,ga,115.8,48.9,117.5,83.9,27.9,17.9,45493,south_atlantic,33.582798,-85.079763
catoosa,ga,91.5,29.7,89.5,65.6,20.5,16,50847,south_atlantic,34.903657,-85.138247
chatham,ga,130,42,136.1,65.2,24,20.3,45254,south_atlantic,31.974022,-81.092425
chattooga,ga,86,52.5,132.1,101.5,17.5,28.3,34440,south_atlantic,34.475015,-85.345291
cherokee,ga,126.9,34.8,138.6,73.2,46,11,67686,south_atlantic,34.243929,-84.476203
clarke,ga,129.7,40.5,170.7,61.8,21.1,37.2,32864,south_atlantic,33.951168,-83.367332
clayton,ga,128.2,44.6,156.3,65.1,10.2,25.4,40606,south_atlantic,33.541901,-84.357654
cobb,ga,132.8,39,142.4,60.3,36.4,13.8,62866,south_atlantic,33.941463,-84.576673
coffee,ga,99.5,41.5,108.9,79.5,14.9,28.2,33615,south_atlantic,31.549272,-82.849201
colquitt,ga,111,43.2,133,89.5,11.5,25.9,33095,south_atlantic,31.18839,-83.768848
columbia,ga,119.5,35.8,112.1,61.4,23.2,8.3,72531,south_atlantic,33.544121,-82.264062
coweta,ga,111.6,38.3,118.8,65,29.9,13.7,61469,south_atlantic,33.353462,-84.763361
crisp,ga,98.7,46.7,115.2,72.3,15.9,30.7,30481,south_atlantic,31.922932,-83.768104
dawson,ga,121,37.7,98.7,74.1,40.1,15.2,52804,south_atlantic,34.444298,-84.170636
decatur,ga,109.9,44.8,139.9,70.4,12.6,26.6,34102,south_atlantic,30.878344,-84.57907
dekalb,ga,136.4,41.4,161.5,53.2,18.1,19.9,49894,south_atlantic,33.771529,-84.226408
dougherty,ga,122.4,47.1,197.6,73.4,11.1,31.3,31575,south_atlantic,31.533374,-84.216254
douglas,ga,117.7,45.7,133.6,81.1,20.1,17.9,51941,south_atlantic,33.701828,-84.767973
early,ga,106.8,45.4,184.2,61.5,24.5,27.4,32357,south_atlantic,31.322833,-84.903643
effingham,ga,131.3,50.6,90.6,85.2,29.7,11.8,61062,south_atlantic,32.36731,-81.34134
elbert,ga,103.1,52.2,134.3,73.4,18,23.4,34487,south_atlantic,34.116793,-82.840095
emanuel,ga,117.2,50.3,93.6,67.6,16.6,34.1,30348,south_atlantic,32.589762,-82.301708
fannin,ga,112.6,40.3,106,73.2,27.9,22.5,35673,south_atlantic,34.864098,-84.319857
fayette,ga,140.4,31.9,131.2,47.4,36,7.2,81368,south_atlantic,33.413943,-84.494191
floyd,ga,119.8,41.6,143,81.1,18.8,22.2,39381,south_atlantic,34.263163,-85.214279
forsyth,ga,132.2,41.3,132.8,60.6,50.7,7.7,87565,south_atlantic,34.225546,-84.125018
franklin,ga,131.8,56.6,123.8,81.4,28.7,20.9,40114,south_atlantic,34.375436,-83.229175
fulton,ga,135.3,39.7,170.4,54.5,27.7,18.2,55474,south_atlantic,33.790284,-84.466986
gilmer,ga,96.5,38.7,114.6,76.1,30.5,25.1,39323,south_atlantic,34.691178,-84.455627
glynn,ga,116.5,40.1,131.9,71.9,18.5,20.3,43533,south_atlantic,31.213242,-81.493698
gordon,ga,117.5,44,95.9,94.7,23.2,18.4,42291,south_atlantic,34.503359,-84.875753
grady,ga,100.6,56.3,101.4,74,11.7,25.7,35212,south_atlantic,30.874673,-84.234426
greene,ga,146.1,39.2,121.4,69.9,31.2,23.1,42842,south_atlantic,33.578784,-83.166655
gwinnett,ga,129.1,37.8,136.9,51.8,27.5,13.7,59081,south_atlantic,33.961729,-84.023624
habersham,ga,120.3,49,132.3,64.4,32.2,21.2,40530,south_atlantic,34.631021,-83.531116
hall,ga,117.8,40.5,132.6,61.2,40.1,20.8,46986,south_atlantic,34.316889,-83.819681
haralson,ga,94.6,49.5,108.7,94.4,32.2,22.2,39548,south_atlantic,33.794233,-85.211026
harris,ga,118.9,39.2,148.5,62,25.4,10.6,60977,south_atlantic,32.736004,-84.908988
hart,ga,98.8,45.9,97.5,69,24.3,20.8,40225,south_atlantic,34.350898,-82.964248
henry,ga,129.3,42,176.6,60.3,24.2,11.6,60087,south_atlantic,33.452986,-84.154184
houston,ga,113.5,48.5,118.3,73.2,16.7,15.4,52297,south_atlantic,32.459007,-83.666243
jackson,ga,131.7,48.5,130.9,78.4,33.3,14,52385,south_atlantic,34.133883,-83.566348
jasper,ga,142.8,41.2,127.5,78.7,29.9,19.7,42343,south_atlantic,33.316434,-83.68809
jefferson,ga,112.8,56.3,145.5,62.8,16.9,27.5,29152,south_atlantic,33.054844,-82.418151
lamar,ga,130.1,46.4,165.3,86.5,18.4,19.7,40915,south_atlantic,33.076536,-84.139463
laurens,ga,118.2,42.9,121.9,69.5,13.6,29.1,33974,south_atlantic,32.463657,-82.922238
lee,ga,116.5,53,160.8,83.2,29.7,11.6,63272,south_atlantic,31.779507,-84.141134
liberty,ga,98.3,47.3,147.5,76.8,12,20,40175,south_atlantic,31.807229,-81.456256
lowndes,ga,125.3,40.8,206.4,65.3,19.7,26.3,37138,south_atlantic,30.833857,-83.267708
lumpkin,ga,116.1,37.2,122.3,72.3,44.9,21.5,42919,south_atlantic,34.572186,-84.00265
madison,ga,119.9,59.5,116.8,90.4,27.7,18.7,43611,south_atlantic,34.127784,-83.209037
mcduffie,ga,121.4,45.5,153.8,69.5,13.5,23.7,37328,south_atlantic,33.482855,-82.481371
mcintosh,ga,78.7,30.8,121.6,55,24.5,23.1,36346,south_atlantic,31.483806,-81.375566
meriwether,ga,126.2,65.8,129,66.8,16.1,27.2,34962,south_atlantic,33.040656,-84.688312
monroe,ga,109.4,38.5,160.9,72.7,12.7,13.9,54793,south_atlantic,33.013897,-83.918682
morgan,ga,135.9,52.6,145.6,65.5,33,17.1,48337,south_atlantic,33.590825,-83.492382
murray,ga,97.7,36.3,82,103.1,19.9,21.9,40343,south_atlantic,34.788447,-84.748094
muscogee,ga,136.3,48.1,171.6,70.3,21.3,22.9,40414,south_atlantic,32.509961,-84.877041
newton,ga,121.1,45.7,154.6,78.9,28,15,50862,south_atlantic,33.555049,-83.850187
oconee,ga,134.3,33.7,192.9,46.8,29.5,8.6,72478,south_atlantic,33.834939,-83.437054
oglethorpe,ga,112.8,50.2,122.1,75.4,21.4,17.6,44026,south_atlantic,33.880648,-83.080703
paulding,ga,123.1,44.2,118.5,77.7,26.7,11.6,60008,south_atlantic,33.920546,-84.867288
peach,ga,136.4,59,128.5,77.9,13.4,21.1,42602,south_atlantic,32.568778,-83.826878
pickens,ga,104,37.5,142.2,82.3,48.6,15.1,53332,south_atlantic,34.46432,-84.465639
pike,ga,94.6,49.5,156.7,75.6,23.7,13.8,52393,south_atlantic,33.092265,-84.389235
polk,ga,124.2,50.8,143.2,102,17.6,22.5,38730,south_atlantic,34.001784,-85.188153
putnam,ga,114.9,44.9,134,74.4,26.2,19,42934,south_atlantic,33.321767,-83.372841
rabun,ga,125.9,44.7,135.3,67.1,23.2,19.4,38114,south_atlantic,34.881682,-83.402137
richmond,ga,134.5,34.5,131.4,72.7,13.2,27.7,36069,south_atlantic,33.359635,-82.073549
rockdale,ga,127.5,37.8,158.3,60.7,21,16.8,50646,south_atlantic,33.654235,-84.026608
screven,ga,114.9,64.8,113.1,79.1,18.6,27.9,35087,south_atlantic,32.750587,-81.611935
spalding,ga,122.1,50.6,173.8,74.3,20,21.1,39068,south_atlantic,33.260869,-84.28416
stephens,ga,101.5,56.4,111.1,76.8,30.2,20.4,36318,south_atlantic,34.553944,-83.293433
sumter,ga,136.6,45.6,158.7,63.1,13.9,36.1,32474,south_atlantic,32.039969,-84.197041
tattnall,ga,124.8,56.1,109.7,100.8,14.2,28.3,35983,south_atlantic,32.045748,-82.058176
thomas,ga,115.6,39.5,144.9,74.5,11.8,20.4,38914,south_atlantic,30.863682,-83.919313
tift,ga,139.3,43.3,143,71.4,24.4,31.3,33902,south_atlantic,31.457438,-83.526594
toombs,ga,116.4,34.4,163.5,74,14.4,28.3,32311,south_atlantic,32.12172,-82.331293
towns,ga,125.5,34.2,178.2,62.4,51.6,18.1,39854,south_atlantic,34.916652,-83.737279
troup,ga,130.8,45.7,150.9,71.1,13.4,23.8,42044,south_atlantic,33.03351,-85.028337
union,ga,121.2,37,151.9,70.4,35.3,16.9,39677,south_atlantic,34.83401,-83.990756
upson,ga,111.2,51.4,160.8,87.8,18.2,22.3,34709,south_atlantic,32.88127,-84.299344
walker,ga,101.7,31.7,85.5,84.3,17.6,17.3,40512,south_atlantic,34.735659,-85.300985
walton,ga,113.1,40.4,138.2,67.9,32.2,14.2,54294,south_atlantic,33.781557,-83.733847
ware,ga,110.9,37.2,119.6,70.6,12.1,27.6,32211,south_atlantic,31.053632,-82.423676
washington,ga,124,48.1,168.8,68.2,12.6,26.5,36807,south_atlantic,32.969536,-82.795899
wayne,ga,114.1,47.1,106.1,76.2,14.6,25.3,38081,south_atlantic,31.551433,-81.916759
white,ga,129.1,40.6,107.7,69.8,52.8,19,41337,south_atlantic,34.64636,-83.747115
whitfield,ga,96.3,34,102.9,77.6,23.8,19.9,39946,south_atlantic,34.805612,-84.967221
worth,ga,111.8,49,142.7,70.8,23.7,23.1,36616,south_atlantic,31.551512,-83.850876
hawaii,hi,125.1,37.1,63.7,44.9,25.5,19.5,47377,pacific,19.602397,-155.522886
honolulu,hi,138.3,46,106.9,48.3,16.4,9.6,72649,pacific,24.053316,-165.802325
kauai,hi,113.6,41.4,110.7,45.2,17.6,11.8,55844,pacific,22.010213,-159.709858
maui,hi,132,45.2,72.1,43.2,36.8,10.7,62277,pacific,20.865832,-156.58774
allamakee,ia,111.8,45.7,130.4,39.9,28.3,13.9,44673,west_north_central,43.284284,-91.378092
appanoose,ia,80.6,57.2,86.3,78.5,22.9,17.2,37683,west_north_central,40.743163,-92.86861
benton,ia,127,34.9,92.3,67.5,32.1,8.8,59179,west_north_central,42.080186,-92.065691
black hawk,ia,122.1,40.4,132.4,72.5,26,16.7,46281,west_north_central,42.470096,-92.30882
boone,ia,99.6,30.9,118.8,61.3,20.7,11.3,52578,west_north_central,42.036549,-93.931671
bremer,ia,122.9,35.9,105.4,41.6,26.2,6.5,61665,west_north_central,42.774587,-92.318055
buchanan,ia,125.5,37.5,107.3,82.8,19.3,9.2,54383,west_north_central,42.470778,-91.837839
buena vista,ia,122.6,43.2,142.9,40.9,14.6,12.5,47514,west_north_central,42.735494,-95.151149
butler,ia,98.1,41.3,105.7,45.4,27.7,9.3,53920,west_north_central,42.731566,-92.790193
calhoun,ia,159.4,50.6,148.4,54.6,33.2,14,47351,west_north_central,42.385185,-94.640414
carroll,ia,94.8,45.7,120,60.8,26.3,9.5,51328,west_north_central,42.036238,-94.860559
cass,ia,94.1,64.2,128.7,73.2,21.2,14.8,45191,west_north_central,41.331488,-94.927827
cedar,ia,118.3,45.8,144.2,66.5,26.5,7.4,58530,west_north_central,41.772321,-91.132412
cerro gordo,ia,115.5,46.7,124.2,65.8,24.2,11.9,46063,west_north_central,43.081558,-93.260818
chickasaw,ia,97.9,44.1,124,52.9,23.7,10.6,50342,west_north_central,43.060041,-92.317664
clay,ia,143,43.7,141,57.8,21.6,10.7,51399,west_north_central,43.08258,-95.150919
clayton,ia,118.3,47.5,111.4,60.3,19.6,12,48626,west_north_central,42.844749,-91.341433
clinton,ia,116.3,50.1,106.2,64.1,30.8,13.9,49702,west_north_central,41.898036,-90.531972
crawford,ia,94.2,43.9,150.2,54.8,15.6,13,48555,west_north_central,42.037212,-95.381968
dallas,ia,138.9,31.7,112,61.6,20.4,6,79309,west_north_central,41.684886,-94.039737
delaware,ia,117.6,34.4,97.6,38.4,34,10.1,54587,west_north_central,42.471211,-91.36735
des moines,ia,132.6,44.9,124.8,86.7,28.1,12.3,42882,west_north_central,40.923183,-91.181471
dickinson,ia,136.3,51.8,130.8,59.6,35.3,8.7,58610,west_north_central,43.377985,-95.15083
dubuque,ia,132.4,38.6,131.9,59.4,37.1,12.8,51907,west_north_central,42.468822,-90.882522
emmet,ia,93.3,50.7,145.9,69.8,36.4,14.7,46892,west_north_central,43.378022,-94.67848
fayette,ia,115.7,54.8,118.8,59.9,20.5,13.9,44739,west_north_central,42.862592,-91.844321
floyd,ia,158.9,45.7,127.5,65.7,32.4,12.1,48964,west_north_central,43.059921,-92.789003
greene,ia,164,61.8,124.2,63.7,25.3,12.8,47936,west_north_central,42.036239,-94.396836
grundy,ia,125.7,43.3,138.8,48.7,30,6.9,61381,west_north_central,42.401865,-92.791418
hamilton,ia,92.2,45.9,136.4,64.7,24.5,10.1,50867,west_north_central,42.383772,-93.706809
hancock,ia,107.8,56.1,137.7,58.8,40.8,10.1,54835,west_north_central,43.081886,-93.734272
hardin,ia,133.9,46.8,147.6,58.5,21.8,11,51907,west_north_central,42.38388,-93.240402
harrison,ia,110.7,62.4,95.6,86.4,22.8,10.6,53764,west_north_central,41.682853,-95.816921
henry,ia,108.3,57.6,97.9,70.4,20.9,14.2,50084,west_north_central,40.987938,-91.544524
iowa,ia,127.8,44,125.2,47.5,43.1,10.1,58028,west_north_central,41.686323,-92.065524
jackson,ia,134.4,54.4,154,66.1,36.8,11.8,46180,west_north_central,42.171743,-90.574229
jasper,ia,133.2,48.1,105.2,72.4,14.6,9.8,55492,west_north_central,41.686039,-93.053765
jefferson,ia,106.4,45.7,96.2,49.5,15.3,16.1,41942,west_north_central,41.03176,-91.948877
johnson,ia,137.6,39.9,121.9,50.5,29.9,16,53204,west_north_central,41.671551,-91.588085
jones,ia,129.8,50.8,103,57.8,21.2,10.2,54749,west_north_central,42.12124,-91.131435
keokuk,ia,119.7,50.1,78.8,68.1,26.3,13.3,47626,west_north_central,41.336465,-92.178643
kossuth,ia,148.8,50.9,82,58,39.5,9.8,55972,west_north_central,43.20413,-94.20672
lee,ia,123.4,51,138.5,73.2,26.5,16.2,45307,west_north_central,40.641976,-91.479264
linn,ia,126.6,40.9,102.2,65.7,27.5,9.7,56503,west_north_central,42.078948,-91.598965
mahaska,ia,95,59.7,120.3,79.1,21.5,14,48978,west_north_central,41.335203,-92.640909
marion,ia,126.5,57.8,117.7,57.4,16.9,9.3,56883,west_north_central,41.334451,-93.099437
marshall,ia,100.4,48,114.8,65.8,24.2,13.4,51382,west_north_central,42.035849,-92.998771
mills,ia,110.8,45.3,114,73.1,27.7,10,56504,west_north_central,41.033452,-95.621327
mitchell,ia,103.2,47.5,121.6,48.2,44,10.2,53049,west_north_central,43.356412,-92.789031
monona,ia,121.3,52.1,110.6,58.3,33.2,12.5,41461,west_north_central,42.051666,-95.959923
muscatine,ia,121.9,51.4,139.4,62.8,27,12.7,54025,west_north_central,41.483922,-91.112756
o'brien,ia,101.5,44.5,123.1,53.2,26.1,9.4,57287,west_north_central,43.083753,-95.624878
page,ia,104.4,55,149.5,98,29.7,17.3,47438,west_north_central,40.739144,-95.150175
palo alto,ia,132.4,43.3,94.6,61.1,33.1,10.8,49536,west_north_central,43.082064,-94.678137
plymouth,ia,96.1,54.5,123.4,54.9,44.4,8.3,58113,west_north_central,42.737847,-96.214027
polk,ia,133.2,43.8,117.4,75.3,19.1,12.4,59388,west_north_central,41.685505,-93.573534
pottawattamie,ia,119.4,48.2,100.4,84.6,19.9,13.6,50570,west_north_central,41.336612,-95.542394
poweshiek,ia,112.7,52.6,102.4,43.4,16.6,12,50799,west_north_central,41.686442,-92.531468
scott,ia,124.9,42.9,120.1,72.7,26.7,14.2,54444,west_north_central,41.637098,-90.623243
shelby,ia,129.4,63.7,104,52.4,21,9.4,54740,west_north_central,41.685093,-95.310211
sioux,ia,125.9,35.8,121.1,43.1,31.2,8.2,61817,west_north_central,43.082617,-96.177883
story,ia,127.6,42.8,150.7,56,25.8,21.1,53782,west_north_central,42.036241,-93.465045
tama,ia,123.3,37.7,118.1,65.3,21.3,11.5,53844,west_north_central,42.079812,-92.532543
taylor,ia,143.8,50.8,96.2,57.9,43.8,14.1,45009,west_north_central,40.737432,-94.696415
union,ia,121.8,44.5,80,74.3,20,13.5,43357,west_north_central,41.02773,-94.242379
van buren,ia,101.4,49.4,56.7,75.4,46.2,16.2,43019,west_north_central,40.753229,-91.949987
wapello,ia,125.6,52.4,107.6,78.5,20.7,19.9,40629,west_north_central,41.030585,-92.40945
warren,ia,144.3,44.5,118.2,69.5,18.4,7,66328,west_north_central,41.334373,-93.561359
washington,ia,127.7,39.8,116.3,52.9,27.6,9.3,54480,west_north_central,41.335591,-91.717868
webster,ia,108.6,40.2,132.9,67.6,21,15.9,45202,west_north_central,42.427966,-94.181788
winnebago,ia,108.6,46.4,100.6,61.3,22.8,11.1,50383,west_north_central,43.377568,-93.734195
winneshiek,ia,116.1,41.7,130.1,36,29.2,10.9,53194,west_north_central,43.290675,-91.843707
woodbury,ia,109.5,46.8,131.7,71.5,25.2,16.5,45678,west_north_central,42.389729,-96.044795
wright,ia,125.2,51.6,99.4,56.1,24.9,10.6,49369,west_north_central,42.733119,-93.735146
ada,id,129,35.2,146.8,52.2,30.1,13.6,53420,mountain,43.451118,-116.241086
bannock,id,103.7,34.8,108.8,41,21.4,17.7,42665,mountain,42.668507,-112.224629
benewah,id,107.9,41.9,94.8,79,23.3,16.5,39530,mountain,47.217551,-116.658826
bingham,id,110,45.3,133.2,38.7,18.1,14.1,47721,mountain,43.216516,-112.398053
blaine,id,130.5,19.7,111.2,22.6,49.3,9.9,67936,mountain,43.412325,-113.980397
bonner,id,121,41.7,107.5,54.3,24.8,17,41797,mountain,48.299758,-116.600801
bonneville,id,103.7,34.2,138.1,35.7,28.3,12,50559,mountain,43.387732,-111.614925
canyon,id,106.7,38.5,138.1,56.1,26.1,20.1,42237,mountain,43.625134,-116.709293
cassia,id,113.8,18.8,103.8,34,20,15.3,44160,mountain,42.283919,-113.60035
clearwater,id,87.5,36,128.4,55.4,24.4,17.8,40068,mountain,46.673693,-115.656891
elmore,id,103.7,48.2,121.7,72.4,22.7,16.6,42680,mountain,43.3539,-115.469179
fremont,id,94.2,47.4,136.1,40.4,24.7,16.7,44130,mountain,44.228805,-111.481909
gem,id,145.3,40.4,135.8,67.1,27.8,18.4,44173,mountain,44.061691,-116.397227
gooding,id,137.6,40.5,151.6,66.9,23.9,16.3,41310,mountain,42.970902,-114.811515
idaho,id,105.4,34.1,97.2,48.2,15.2,15.8,39434,mountain,45.844198,-115.46746
jefferson,id,92.7,36.3,122.1,33.9,27.1,13.1,52950,mountain,43.820143,-112.311283
kootenai,id,136,40,127.4,56.6,27,13.3,51681,mountain,47.674556,-116.700014
latah,id,128.9,34.7,119.2,50.6,25,18.1,43699,mountain,46.816128,-116.71168
lemhi,id,118.4,57.3,109.7,46.5,33.5,18,38367,mountain,44.943243,-113.933163
minidoka,id,130.3,34.7,109.1,54.8,17.5,14.4,41968,mountain,42.854399,-113.637517
nez perce,id,128.9,30.4,140.7,69.3,26.5,13.4,46753,mountain,46.326761,-116.750235
owyhee,id,126.5,34.1,120.2,40.7,30.5,18.4,35017,mountain,42.581531,-116.169979
payette,id,118.2,41.7,158.5,64.8,24.9,17.6,43642,mountain,44.006738,-116.760843
twin falls,id,126.3,43.7,119,53.4,25.4,16,44602,mountain,42.355978,-114.667163
valley,id,129.5,24.8,121.5,41.3,27.5,11.7,48879,mountain,44.766702,-115.566128
washington,id,136.1,38.1,174.4,68.3,23.9,17.9,37539,mountain,44.452426,-116.784771
adams,il,115.5,48.5,115.6,74.1,22.4,15.9,43604,east_north_central,39.987894,-91.188489
boone,il,117.1,41.3,97.8,66.3,23,10.2,59537,east_north_central,42.32308,-88.823363
bureau,il,111.9,47.7,152.4,69.6,25.2,12,49062,east_north_central,41.404152,-89.528677
carroll,il,124.3,46.8,127.7,54,14.9,14,43643,east_north_central,42.068686,-89.934413
cass,il,112.9,58.6,74.2,89.7,22.5,12.9,45257,east_north_central,39.973565,-90.247386
champaign,il,131.6,33.7,116.3,62.4,24.9,21.6,46917,east_north_central,40.140084,-88.199192
christian,il,130.2,57,105.3,94.1,22.9,13.1,49391,east_north_central,39.545793,-89.277268
clark,il,99.2,49.7,127.4,75.5,19.8,13.7,46287,east_north_central,39.333567,-87.787723
clay,il,126.5,46.6,126,79.5,21.1,14.2,42369,east_north_central,38.754162,-88.490192
clinton,il,138.6,52.1,120.2,63.6,25.8,9.5,61843,east_north_central,38.606452,-89.422485
coles,il,125.1,45.2,94.7,80.4,20.3,19.8,39353,east_north_central,39.520287,-88.221795
cook,il,128.6,46.8,135.4,63.4,13.4,17.8,53795,east_north_central,41.895417,-87.646165
cumberland,il,80.6,60.5,105.9,89.1,23.4,12.1,47382,east_north_central,39.273317,-88.24023
de witt,il,122.7,67.7,175.8,94.3,22.2,13.8,53303,east_north_central,40.174629,-88.90409
dekalb,il,124.9,43.4,140,72.8,20.2,18.7,54204,east_north_central,41.893529,-88.770315
douglas,il,115.8,41,144.1,66.3,22.9,10.7,49179,east_north_central,39.769464,-88.217355
dupage,il,145,39.2,123.2,56.1,16.2,7,76269,east_north_central,41.851956,-88.085628
edgar,il,111.6,51.3,93.7,76.6,24.1,18.5,44433,east_north_central,39.678535,-87.745571
effingham,il,119.4,56.7,159.6,67.5,22.8,11.1,50900,east_north_central,39.05977,-88.589857
fayette,il,112.8,43.9,110,58,20.4,16.9,43014,east_north_central,39.000191,-89.024144
ford,il,149.8,45.9,128.3,66.8,23.4,11.4,52375,east_north_central,40.597177,-88.223259
franklin,il,132.3,45.3,118.1,103.4,25.9,20,35681,east_north_central,37.992285,-88.924154
fulton,il,138.6,45.3,133.1,74.9,21.1,14.8,46342,east_north_central,40.472766,-90.207473
grundy,il,125.1,50.3,142,90,21.6,8,68474,east_north_central,41.285087,-88.418495
hamilton,il,76.8,69.1,167.5,85.2,31.2,14.9,42330,east_north_central,38.081574,-88.539106
hancock,il,135.4,46,109.6,74.4,24.3,12.2,47965,east_north_central,40.403776,-91.164698
henry,il,119.3,45.6,108.7,74.9,25.8,11.2,52117,east_north_central,41.353133,-90.131417
iroquois,il,120.6,55.7,94.2,72,18.9,14,46977,east_north_central,40.747226,-87.824304
jackson,il,120.6,48,97,69,22.7,29.5,34243,east_north_central,37.78514,-89.382116
jefferson,il,115.2,50.9,164.2,92.7,25.9,18.4,40663,east_north_central,38.30052,-88.924008
jersey,il,100.1,29.7,117.1,78.7,29.8,10.5,54331,east_north_central,39.085662,-90.356683
jo daviess,il,118.6,42.6,126.3,55.9,23.4,10.2,49573,east_north_central,42.365816,-90.212586
johnson,il,131.4,64.9,93.1,83.6,20.6,17.9,39965,east_north_central,37.459631,-88.880889
kane,il,124.9,37.8,128.3,58.9,17.9,10.9,71444,east_north_central,41.938904,-88.428638
kankakee,il,112.1,46.1,136,73.6,15.1,16.7,49584,east_north_central,41.137705,-87.861798
kendall,il,128.6,45.8,131.9,54.6,21.4,5.8,79648,east_north_central,41.590542,-88.428834
knox,il,116.1,44.9,108.3,69.1,26.2,19.6,39494,east_north_central,40.931817,-90.213259
la salle,il,116.4,49.6,180.1,76.4,26.3,13.8,49487,east_north_central,41.343995,-88.885946
lake,il,135.8,39.3,112.7,58.2,22.7,9.5,75106,east_north_central,42.325323,-87.631209
lee,il,112,47.3,120.7,66.9,25.3,12.4,53126,east_north_central,41.746193,-89.300387
livingston,il,126.9,49.7,154.6,81.6,26.6,12.5,52819,east_north_central,40.891557,-88.557717
logan,il,123.9,60.6,125.3,90.7,18.3,13.6,50991,east_north_central,40.124557,-89.367546
macon,il,131.4,51,147.1,96.6,24.3,18.1,46179,east_north_central,39.859995,-88.961597
macoupin,il,126,51.5,132.2,79.5,20.8,13.9,50089,east_north_central,39.261015,-89.924433
madison,il,124.7,43.5,121.6,83.5,21.1,13.7,53864,east_north_central,38.829853,-89.905168
marion,il,125,49.1,128,91.5,26.3,19.2,40969,east_north_central,38.649591,-88.918973
marshall,il,140.1,48.1,175.6,58.5,27.1,10.2,50899,east_north_central,41.033174,-89.344777
mason,il,111.3,49.9,108.5,92.3,25.6,14,45563,east_north_central,40.239648,-89.916784
massac,il,120.2,45,113.3,100.9,21.1,17.5,41373,east_north_central,37.219027,-88.707744
mcdonough,il,107.5,50.2,111.9,63.1,23.1,21.1,41661,east_north_central,40.456211,-90.67791
mchenry,il,138.2,43.6,119.1,65.3,19.9,7.1,75713,east_north_central,42.324387,-88.45245
mclean,il,131,42.1,157,64.1,30.2,13.8,62261,east_north_central,40.49089,-88.847323
menard,il,134.7,46.9,101.3,75.9,20.6,10.8,60151,east_north_central,40.027397,-89.80217
mercer,il,139.9,44.6,120.2,76.7,26.7,9.7,53626,east_north_central,41.205339,-90.741408
monroe,il,125.2,44.1,130.8,60.9,29.6,4.9,71604,east_north_central,38.278649,-90.177377
montgomery,il,136.6,55.6,118.2,86.5,19.2,16.1,42614,east_north_central,39.23104,-89.47887
morgan,il,135.4,48.7,122.2,77.6,20,16,48223,east_north_central,39.715565,-90.201496
moultrie,il,137.3,38,98.9,56.9,23.6,12.4,47645,east_north_central,39.641479,-88.619299
ogle,il,122.5,40.8,83.1,66.7,26.4,13,51334,east_north_central,42.042645,-89.320654
peoria,il,135.3,47.3,149.6,84,23.8,17,49827,east_north_central,40.788081,-89.759987
perry,il,125,54.5,108.3,74.4,26.2,17.6,41931,east_north_central,38.08376,-89.367015
piatt,il,146.6,30.1,118.3,79.8,40.3,7.2,66279,east_north_central,40.010367,-88.591091
pike,il,111,57.6,98.7,68.4,18.5,17.3,39430,east_north_central,39.622496,-90.886287
randolph,il,97.2,57.9,102.1,78.6,21,14.1,44991,east_north_central,38.052124,-89.825311
richland,il,120.3,48.9,127.7,81.6,26.8,16.4,41985,east_north_central,38.71236,-88.085101
rock island,il,119.9,44.3,118.3,66.8,26.4,15.8,48160,east_north_central,41.46733,-90.567426
saline,il,104.2,57.9,118.2,91.8,22.7,18.6,39281,east_north_central,37.753183,-88.540801
sangamon,il,138.1,48.5,119.7,77.6,21.8,15.2,55255,east_north_central,39.758173,-89.658898
shelby,il,113.4,48.2,100.5,77.1,20.1,12.6,50569,east_north_central,39.391156,-88.805536
st. clair,il,123,45.9,126.2,75.8,19.2,18.3,48343,east_north_central,38.470305,-89.92841
stephenson,il,108.2,39.3,104.7,63.8,21.4,18.6,42897,east_north_central,42.351747,-89.66236
tazewell,il,125.9,48.3,139.6,87.2,24.1,8.9,57544,east_north_central,40.507517,-89.51342
union,il,124.9,48.5,102.9,102.7,25.5,16.7,42799,east_north_central,37.471228,-89.255088
vermilion,il,133.8,54.2,140.6,86.4,20.2,19.6,44085,east_north_central,40.183422,-87.732835
warren,il,151.9,48.2,109.4,74,24.3,15.1,45770,east_north_central,40.848832,-90.615029
washington,il,110.1,66.2,153.6,74.1,23.1,9.9,53967,east_north_central,38.352175,-89.410454
wayne,il,128.7,34,122.6,89.2,23.6,17.4,42896,east_north_central,38.429565,-88.425614
whiteside,il,122.9,38.1,120.4,71.8,22.3,12.1,50489,east_north_central,41.756265,-89.914092
will,il,129.2,45.2,134,72,16.4,8.5,74669,east_north_central,41.445035,-87.978658
williamson,il,104.7,55.7,108.6,97.5,23.9,16.2,44041,east_north_central,37.730247,-88.929937
winnebago,il,117.4,42.2,105.2,74,24.3,16.3,47214,east_north_central,42.336265,-89.160853
woodford,il,141.4,42.3,119.1,61,24,7,67036,east_north_central,40.788232,-89.211137
adams,in,103.4,54,110.6,50.2,23,15.5,48001,east_north_central,40.74566,-84.936655
allen,in,122.3,42.7,101.2,61.9,18.4,17,45587,east_north_central,41.090871,-85.066562
bartholomew,in,122.4,40.2,86.1,77.8,20.7,11.6,54341,east_north_central,39.205973,-85.897605
blackford,in,104.9,51.6,122.6,74.9,22,15.4,39373,east_north_central,40.473601,-85.32482
