name,state,breast,colorectal,prostate,lung,melanoma,poverty,income,region,lat,lon
tuscaloosa,al,135.5,42,160.3,72.3,14.9,17.2,45959,east_south_central,33.28955,-87.52503
walker,al,103.6,42.4,139.7,98.3,22.3,22,37193,east_south_central,33.803335,-87.297357
washington,al,116.4,54.1,121.1,74.8,18.8,19.7,41115,east_south_central,31.407604,-88.207877
winston,al,96.1,50.1,101.3,90.8,21.6,21.9,33578,east_south_central,34.149225,-87.373683
ashley,ar,102.1,62.4,144.7,77,12.3,21.9,36479,west_south_central,33.191222,-91.768449
baxter,ar,116,38.6,122,85.6,23.9,15.6,36082,west_south_central,36.287189,-92.336971
benton,ar,115.9,40.4,124.5,56.4,23.9,11.7,56518,west_south_central,36.338723,-94.256187
boone,ar,95.2,44.6,124.1,67.7,24.9,17.2,38410,west_south_central,36.308599,-93.091563
carroll,ar,113.6,37.8,101.5,59.1,17.6,22.2,34109,west_south_central,36.341028,-93.53825
cleburne,ar,112,43,151.2,83.6,16.8,16.3,41612,west_south_central,35.53811,-92.026736
conway,ar,116.3,37.8,128,75,17,21.1,38145,west_south_central,35.262215,-92.701315
craighead,ar,99.1,39.9,85,74.6,16.7,20,41608,west_south_central,35.830789,-90.632841
crawford,ar,119.7,46.5,111.2,79.1,23.9,19.2,39384,west_south_central,35.589091,-94.24286
crittenden,ar,95.4,44.6,68.9,75.6,6.5,23.6,37726,west_south_central,35.207942,-90.308859
cross,ar,95.4,69.5,91.2,77.5,23.9,20.6,35438,west_south_central,35.295726,-90.771227
faulkner,ar,118,41.6,143.2,75.9,16.8,14.9,49936,west_south_central,35.146979,-92.332044
franklin,ar,86.3,34.4,93,77.1,15.5,20.7,38874,west_south_central,35.512351,-93.890619
fulton,ar,85.5,45.9,117.9,64.7,17.4,22.9,33439,west_south_central,36.38167,-91.818237
garland,ar,115.4,35.3,135.8,80.6,19.7,22.1,39057,west_south_central,34.576686,-93.150425
grant,ar,112.7,62.5,136.7,96.1,19.7,14.2,47089,west_south_central,34.290018,-92.423583
greene,ar,99.8,42.2,90.2,89.2,12,17.7,40840,west_south_central,36.117698,-90.559072
hot spring,ar,92.9,44.6,123.7,94.2,18.2,18.5,39927,west_south_central,34.317634,-92.946006
independence,ar,94.8,43.5,135.4,82.3,19.6,18.4,37761,west_south_central,35.74158,-91.569724
izard,ar,123,40.9,128.2,55.9,17.6,20.8,33308,west_south_central,36.094875,-91.913417
jackson,ar,91.3,61.3,127.5,104.4,21.5,27.5,32923,west_south_central,35.599231,-91.214571
jefferson,ar,119.1,42.4,182.3,97.5,12.1,25.8,36169,west_south_central,34.268785,-91.931515
johnson,ar,108.3,38,62.1,97.2,16.5,23.4,33634,west_south_central,35.570055,-93.45991
lawrence,ar,96.4,49.8,75.6,102.7,15.2,20.4,34740,west_south_central,36.041247,-91.107075
logan,ar,90,36.9,124.8,87,14.3,18.7,34090,west_south_central,35.215272,-93.716306
lonoke,ar,115,42.2,159.3,91.9,18.6,12.6,55648,west_south_central,34.75427,-91.888668
madison,ar,87,38.9,96.8,67.8,21.4,20.2,36358,west_south_central,36.010965,-93.724563
marion,ar,118.7,31.5,132.1,82.7,28.5,19,34217,west_south_central,36.268347,-92.68422
miller,ar,104.5,47.6,97.3,81.2,12.1,21.4,40005,west_south_central,33.312147,-93.891561
mississippi,ar,91.6,60,92.3,73.6,12.2,25.6,34285,west_south_central,35.763902,-90.054166
pike,ar,89.3,39,114.2,87.8,26.3,21.9,35592,west_south_central,34.163498,-93.656342
poinsett,ar,99.7,49.1,85.3,114,12,24.7,34113,west_south_central,35.574032,-90.66294
polk,ar,93.6,38.7,74.6,67.1,14.8,24.4,31818,west_south_central,34.485843,-94.228069
pope,ar,106.3,43.8,134.2,86.3,17,20,39704,west_south_central,35.447633,-93.03416
pulaski,ar,129.6,38.8,173.7,68,20.4,17.3,46526,west_south_central,34.769932,-92.311799
randolph,ar,99.1,48.3,78.1,83.9,16.9,22.6,33148,west_south_central,36.341483,-91.027717
saline,ar,118.7,37.2,133.6,73.9,18.7,10.3,54921,west_south_central,34.646618,-92.676573
sebastian,ar,111.6,42.8,114.6,78.2,18.5,22.1,41685,west_south_central,35.199717,-94.274141
sharp,ar,126.8,47.8,97.9,89.3,18.9,22.8,31224,west_south_central,36.161157,-91.479864
union,ar,121,46,177.3,89,14.6,21,38132,west_south_central,33.171363,-92.597288
van buren,ar,127.1,36.8,108.9,65.1,16.3,18.9,35111,west_south_central,35.580651,-92.515703
washington,ar,119.4,39.5,125.3,67.1,23.2,20.9,43302,west_south_central,35.979067,-94.215579
white,ar,107,52.3,145.3,91.2,18.3,17.2,43363,west_south_central,35.256274,-91.745551
yell,ar,102.6,48.5,121.2,88.1,19.2,19.7,34679,west_south_central,35.002597,-93.411249
apache,az,56.4,22.4,72.6,22.9,4.5,38.7,30252,mountain,35.395616,-109.488846
cochise,az,90.1,38.1,62.9,46.9,15.9,18.8,45294,mountain,31.879565,-109.751141
coconino,az,98.5,28,83.4,36.7,21.7,23.2,48732,mountain,35.838729,-111.770512
gila,az,81.8,32,54.5,54.3,18,22.6,39868,mountain,33.799752,-110.811737
graham,az,118.5,47.4,56.9,45.5,14,21.6,43497,mountain,32.932716,-109.887438
la paz,az,69.3,32.3,73,54.4,9.7,23.2,33994,mountain,33.729264,-113.981338
maricopa,az,118.9,35.2,91.2,52.2,19.3,17.6,52066,mountain,33.348834,-112.491233
mohave,az,110.8,45.1,83.8,76.6,14.3,21.3,38560,mountain,35.70406,-113.757909
navajo,az,83.7,29.4,78.8,39.6,11.9,31.8,37182,mountain,35.399539,-110.321403
pima,az,107.1,34.8,76,50.9,22.1,19.3,43926,mountain,32.097379,-111.789949
pinal,az,86.7,30.2,78,45.5,14.7,16.7,49887,mountain,32.904309,-111.344714
santa cruz,az,70.8,35.7,54.5,36.1,9.5,22.7,35753,mountain,31.526001,-110.846571
yavapai,az,118.1,31.7,85.5,51.9,17.4,16.4,40486,mountain,34.599881,-112.553864
yuma,az,98.6,31.2,60.8,48,8,19.2,40498,mountain,32.769404,-113.905564
alameda,ca,121.4,36.5,121.6,46,16.6,13,72128,pacific,37.650547,-121.917885
amador,ca,149.8,38,114,58.7,27.2,14.3,52357,pacific,38.44639,-120.651116
butte,ca,141.5,40.8,128.9,61.4,27.2,21.4,42395,pacific,39.666929,-121.600672
calaveras,ca,101.5,37.8,110.6,52.3,38.9,15,52598,pacific,38.204606,-120.554132
colusa,ca,113.5,35.8,98.3,56,16.7,13,48897,pacific,39.177573,-122.237028
contra costa,ca,129.5,41.5,136.9,49.2,29.4,10.8,78909,pacific,37.923419,-121.951212
del norte,ca,112.7,35.9,99.8,78.4,11.8,23.7,38663,pacific,41.744957,-123.957814
el dorado,ca,135.8,38.2,119.3,50,35.2,11.4,63002,pacific,38.778738,-120.524647
fresno,ca,114.1,36.1,109.5,50.8,15.9,28.6,43741,pacific,36.758179,-119.64932
glenn,ca,133,39.8,109,61.2,20.2,19.1,42129,pacific,39.598405,-122.392207
humboldt,ca,111,42.6,111.7,56.4,28.5,21.5,40882,pacific,40.70501,-123.915819
imperial,ca,100.7,33.7,127.1,44.3,7.9,22.7,40106,pacific,33.039506,-115.36532
