year,team,team_name,league
1871,BS1,Boston Red Stockings,
1871,CH1,Chicago White Stockings,
1871,CL1,Cleveland Forest Citys,
1871,FW1,Fort Wayne Kekiongas,
1871,NY2,New York Mutuals,
1871,PH1,Philadelphia Athletics,
1871,RC1,Rockford Forest Citys,
1871,TRO,Troy Haymakers,
1871,WS3,Washington Olympics,
1872,BL1,Baltimore Canaries,
1872,BR1,Brooklyn Eckfords,
1872,BR2,Brooklyn Atlantics,
1872,BS1,Boston Red Stockings,
1872,CL1,Cleveland Forest Citys,
1872,MID,Middletown Mansfields,
1872,NY2,New York Mutuals,
1872,PH1,Philadelphia Athletics,
1872,TRO,Troy Haymakers,
1872,WS3,Washington Olympics,
1872,WS4,Washington Nationals,
1873,BL1,Baltimore Canaries,
1873,BL4,Baltimore Marylands,
1873,BR2,Brooklyn Atlantics,
1873,BS1,Boston Red Stockings,
1873,ELI,Elizabeth Resolutes,
1873,NY2,New York Mutuals,
1873,PH1,Philadelphia Athletics,
1873,PH2,Philadelphia Whites,
1873,WS5,Washington Blue Legs,
1874,BL1,Baltimore Canaries,
1874,BR2,Brooklyn Atlantics,
1874,BS1,Boston Red Stockings,
1874,CH2,Chicago White Stockings,
1874,HR1,Hartford Dark Blues,
1874,NY2,New York Mutuals,
1874,PH1,Philadelphia Athletics,
1874,PH2,Philadelphia Whites,
1875,BR2,Brooklyn Atlantics,
1875,BS1,Boston Red Stockings,
1875,CH2,Chicago White Stockings,
1875,HR1,Hartford Dark Blues,
1875,KEO,Keokuk Westerns,
1875,NH1,New Haven Elm Citys,
1875,NY2,New York Mutuals,
1875,PH1,Philadelphia Athletics,
1875,PH2,Philadelphia Whites,
1875,PH3,Philadelphia Centennials,
1875,SL1,St. Louis Red Stockings,
1875,SL2,St. Louis Brown Stockings,
1875,WS6,Washington Nationals,
1876,BSN,Boston Red Caps,NL
1876,CHN,Chicago White Stockings,NL
1876,CN1,Cincinnati Reds,NL
1876,HAR,Hartford Dark Blues,NL
1876,LS1,Louisville Grays,NL
1876,NY3,New York Mutuals,NL
1876,PHN,Philadelphia Athletics,NL
1876,SL3,St. Louis Brown Stockings,NL
1877,BSN,Boston Red Caps,NL
1877,CHN,Chicago White Stockings,NL
1877,CN1,Cincinnati Reds,NL
1877,HAR,Hartford Dark Blues,NL
1877,LS1,Louisville Grays,NL
1877,SL3,St. Louis Brown Stockings,NL
1878,BSN,Boston Red Caps,NL
1878,CHN,Chicago White Stockings,NL
1878,CN1,Cincinnati Reds,NL
1878,IN1,Indianapolis Blues,NL
1878,ML2,Milwaukee Grays,NL
1878,PRO,Providence Grays,NL
1879,BFN,Buffalo Bisons,NL
1879,BSN,Boston Red Caps,NL
1879,CHN,Chicago White Stockings,NL
1879,CL2,Cleveland Blues,NL
1879,CN1,Cincinnati Reds,NL
1879,PRO,Providence Grays,NL
1879,SR1,Syracuse Stars,NL
1879,TRN,Troy Trojans,NL
1880,BFN,Buffalo Bisons,NL
1880,BSN,Boston Red Caps,NL
1880,CHN,Chicago White Stockings,NL
1880,CL2,Cleveland Blues,NL
1880,CN1,Cincinnati Reds,NL
1880,PRO,Providence Grays,NL
1880,TRN,Troy Trojans,NL
1880,WOR,Worcester Ruby Legs,NL
1881,BFN,Buffalo Bisons,NL
1881,BSN,Boston Red Caps,NL
1881,CHN,Chicago White Stockings,NL
1881,CL2,Cleveland Blues,NL
1881,DTN,Detroit Wolverines,NL
1881,PRO,Providence Grays,NL
1881,TRN,Troy Trojans,NL
1881,WOR,Worcester Ruby Legs,NL
1882,BFN,Buffalo Bisons,NL
1882,BL2,Baltimore Orioles,AA
1882,BSN,Boston Red Caps,NL
1882,CHN,Chicago White Stockings,NL
1882,CL2,Cleveland Blues,NL
1882,CN2,Cincinnati Red Stockings,AA
