county,lat,lon,prop_housing,median_income,avg_duration,median_age,same_house,same_county,same_state,car_alone,carpool,public_transit,walked,transit_other,work_at_home,region
Alleghany County,37.823482,-79.764129,16.86322922959733,38071.0,30.301403798513626,50.6,97.0,1.0,2.0,88.0,9.0,0.0,0.0,2.0,1.0,greater_roanoke_area
Alleghany County,37.849989,-79.925976,15.07665116993891,52054.0,17.86559594251902,48.5,93.0,2.0,4.0,87.0,9.0,0.0,0.0,1.0,4.0,greater_roanoke_area
Alleghany County,37.707596,-80.02464,10.15968525804212,51852.0,25.99116781157998,48.2,89.0,4.0,1.0,90.0,6.0,1.0,0.0,1.0,3.0,greater_roanoke_area
Alleghany County,37.870263,-80.062207,17.425242495551856,52269.0,20.821984435797667,43.6,90.0,8.0,1.0,92.0,6.0,0.0,1.0,0.0,2.0,greater_roanoke_area
Alleghany County,37.721524,-80.172465,11.090532737771,55074.0,29.061930783242257,50.9,97.0,2.0,1.0,87.0,10.0,1.0,0.0,0.0,2.0,greater_roanoke_area
Amelia County,37.387793,-78.060418,21.836622050503657,57976.0,35.321403752605974,46.1,93.0,1.0,4.0,78.0,16.0,1.0,1.0,0.0,5.0,greater_richmond_area
Amelia County,37.276974,-77.879998,19.175425668075864,51566.0,32.05986608901142,40.3,94.0,3.0,2.0,89.0,5.0,1.0,1.0,3.0,2.0,greater_richmond_area
Amherst County,37.663966,-79.199019,16.22858060114772,49838.0,31.68854685377999,44.2,89.0,7.0,4.0,82.0,12.0,0.0,1.0,3.0,2.0,greater_roanoke_area
Amherst County,37.564016,-79.034694,16.7939235661171,50161.0,23.106978085351788,44.5,85.0,7.0,2.0,72.0,11.0,1.0,9.0,1.0,5.0,greater_roanoke_area
Amherst County,37.525212,-79.183514,17.74976687353291,62198.0,22.65830346475508,47.5,96.0,2.0,0.0,86.0,6.0,1.0,1.0,2.0,4.0,greater_roanoke_area
Amherst County,37.502076,-79.091332,25.615106344767426,38977.0,19.621313672922252,35.9,93.0,3.0,4.0,85.0,8.0,0.0,0.0,4.0,3.0,greater_roanoke_area
Amherst County,37.474439,-79.107467,17.96748976299789,48354.0,22.21268656716418,46.4,95.0,1.0,1.0,90.0,7.0,1.0,1.0,1.0,1.0,greater_roanoke_area
Amherst County,37.410112,-79.116471,16.551724137931036,36250.0,19.213483146067414,43.3,92.0,6.0,2.0,86.0,9.0,0.0,3.0,0.0,2.0,greater_roanoke_area
Amherst County,37.445233,-79.138362,23.79803646563815,35650.0,20.724465558194776,37.0,85.0,2.0,12.0,69.0,17.0,4.0,4.0,4.0,2.0,greater_roanoke_area
Amherst County,37.44674,-79.105921,22.80345895163873,37468.0,21.167527251864602,44.5,90.0,3.0,7.0,90.0,10.0,0.0,0.0,0.0,1.0,greater_roanoke_area
Amherst County,37.450407,-79.047959,20.2172096908939,43092.0,20.959907478797223,42.7,88.0,11.0,0.0,88.0,7.0,4.0,0.0,0.0,1.0,greater_roanoke_area
Appomattox County,37.346512,-78.862029,18.96246458923513,45184.0,28.06680881307747,42.7,94.0,2.0,2.0,84.0,11.0,0.0,0.0,3.0,2.0,greater_richmond_area
Appomattox County,37.449018,-78.870876,14.665595275914264,53513.0,26.105433028509953,42.0,97.0,3.0,0.0,88.0,8.0,0.0,0.0,3.0,2.0,greater_richmond_area
