state,county,cbsa_name,cbsa_type,total_population,total_households,median_income,income_q1,income_q2,income_q3,income_q4,income_p95,median_age,age_00_02,age_03_04,age_05_05,age_06_08,age_09_11,age_12_14,age_15_18,same_house,same_county,same_state,avg_duration,car_alone,carpool,public_transit,walked,transit_other,at_home,time_0000_0459,time_0500_0529,time_0530_0559,time_0600_0629,time_0630_0659,time_0700_0729,time_0730_0759,time_0800_0829,time_0830_0859,time_0900_0959,time_1000_1059,time_1100_1159,time_1200_1549,time_1600_1149,white_alone,native_american_alone,asian_alone,pacific_alone,other_alone,multiracial,healthcare_private,healthcare_public,healthcare_none,housing_costs,housing_000000_000000,housing_010000_014999,housing_015000_019999,housing_020000_024999,housing_025000_029999,housing_030000_034999,housing_035000_039999,housing_040000_049999,housing_050000_059999,housing_060000_069999,housing_070000_079999,housing_080000_089999,housing_090000_099999,housing_100000_124999,housing_125000_149999,housing_150000_174999,housing_175000_199999,housing_200000_249999,housing_250000_299999,housing_300000_399999,housing_400000_499999,housing_500000_749999,housing_750000_999999,housing_above_1_million,aland
NA,NA,"Aberdeen, SD",Micropolitan,4946,2097,52641,23059,42604,64783,95213,154231,39.2,0.7215069146399619,0.5216976633285646,0.2503576537911302,0.7381974248927039,0.8540772532188842,0.7048164043872198,0.8140200286123033,0.8409455322870609,0.08680336232447403,0.037583207813031434,0.13866854217589816,80.73365940417963,9.159626500666963,0.377945753668297,4.144064028457092,1.9964428634948868,3.5882614495331255,2.0936226822981627,3.503783154568887,3.7765028685457716,5.168371164879022,9.641639644134031,19.84368504198886,25.98653030680968,7.830714226324104,2.921759374740168,3.571963083063108,1.1740251101687869,1.0626091294587179,5.131786813004075,8.289681549846179,92.97228370705419,3.296121643730151,1.4868636319892214,0.0168414974497161,0.0697719180059667,0.8541045135213166,69.68248399263223,24.60529778089641,5.712218226471362,8508,2.3436237271698723,0.8647163407144012,1.6405366090189106,2.351705188298044,1.1556489413285922,1.7698399870696622,1.1314045579440764,2.755778244706643,2.6183934055277196,4.1134637142395345,3.200258606756101,5.446904800387911,3.5315985130111525,12.114110231129787,11.273638273799904,13.649587845482463,5.60853402295135,8.06529820591563,6.1419104574107,5.48731210602877,2.489090027476968,1.6809439146597704,0.17779214481978342,0.3879101341522547,7352936358
NA,NA,"Aberdeen, WA",Micropolitan,6891,3067,43379,19232,34429,53637,84601,130794,42.5,0.7411150961851972,0.5937398108901206,0.23606129768503423,0.7952396478643625,0.7460058689272905,0.937724160417346,0.8816432996413434,0.8445236150618188,0.0976004731461402,0.04187906609964232,0.24476107875934416,75.78125,13.245917085427136,1.7273869346733668,2.669597989949749,1.6331658291457287,4.94268216080402,12.041036717062635,8.5929063174946,3.5890253779697625,11.398150647948164,8.433450323974082,13.875202483801296,9.62641738660907,7.562769978401727,3.988087203023758,5.340510259179266,1.7033949784017277,0.9010529157667386,6.061858801295896,6.886980291576673,86.41508907909777,4.250425181922101,1.4999860596091115,0.3401455376808766,2.5204226726517414,3.7039618590905286,50.649299491852574,36.08240654420358,13.268293963943853,9348,2.3930807598429373,0.795924864692773,1.374296933036188,1.15674413668683,0.98164066645442,0.7269447097527326,0.23347129364321342,2.605327390427677,2.0110368247904065,3.2526796137111327,3.3481905974742654,3.7992146874668364,3.4330892497081607,11.14294810569882,8.251087763981747,13.286639074604691,8.41557890268492,11.158866602992678,7.513530722699777,8.967420142205244,1.9314443383211293,2.87594184442322,0.04244932611694789,0.30245144858325373,4926218548
NA,NA,"Abilene, TX",Metropolitan,14905,6002,44249,18763,34972,54695,87317,154479,34.1,1.1549483505498168,0.777407530823059,0.34755081639453517,1.183772075974675,1.0241586137954015,1.0228257247584138,1.0211596134621792,0.7691201979645557,0.13489974405317873,0.0676014992903844,0.16917487107360524,80.64587541854608,11.727592218501814,0.6420012729335585,2.4033539032017046,1.9730470155242548,2.608130171292581,7.476874887156168,3.97798128157003,4.4436326686569165,6.107213187717552,10.072178064418608,14.901684154836433,16.149159602117898,10.94847603092026,3.427093436792758,3.752923442545169,2.6608050856353476,1.4116501022417607,6.264669698229349,8.405238473133721,82.34203300811743,0.5132469148357072,1.457788731299089,0.04426605092988616,5.0846139581626,2.648186587386568,54.64890287653618,29.31201521939533,16.039081904068485,8772,2.6620249188566643,1.6176316616061146,1.6516595120929745,2.724845565909329,2.732698146790912,2.625379541409276,2.3636268453565075,5.6905036121872055,6.276829651345409,7.415453879174956,6.960004188043137,6.216626531253272,5.478483928384462,10.76850591561093,8.410114124175479,8.056747984504241,4.865982619620982,5.399958119568631,3.227410742330646,2.8557219139357137,1.136006700869019,0.5522981886713433,0.12302376714480161,0.18846194115799395,7105577372
NA,NA,"Ada, OK",Micropolitan,5449,2401,42566,17261,32579,52836,83170,129606,35.3,0.6393169512703041,0.47188671386922115,0.20283215326947104,0.6218242399000417,0.5985006247396918,0.6114119117034569,0.5814244064972928,0.8180990385387932,0.12062454805966952,0.03977074908272851,0.17515102090129273,85.32634307257304,7.769792648444864,0.3298774740810556,2.5624410933081996,1.5256833176248823,2.4858623939679547,4.290468882029351,3.7351911569435585,5.913190432668265,5.695907844591216,11.443549638724585,15.656417596440706,23.728638190001554,6.518477642311472,2.9660797737501943,2.8367448998948075,1.02433220093466,1.1019331252478919,7.030643742778802,8.060149338667678,71.62622448710164,7.401050880574552,0.5544847252660207,0.015842420721886304,0.16106461067251077,17.901935415731522,49.95066541525281,32.09154573676991,17.957788847977284,7692,2.420606185993586,1.117202855073963,1.5930485155684286,2.3481948898313854,1.9033826419778628,1.66545981173063,0.8896244957070446,3.351608565221889,6.113582290265853,4.51018930381711,7.975587048722457,8.854867073549189,6.403227474914658,10.644460535843592,7.572152684390193,8.90658942795076,6.17564911554774,7.851453398158684,4.530878245577739,2.896451846488052,0.9310023792283024,0.920657908347988,0.062066825281886825,0.3620564808110065,1865879213
NA,NA,"Adrian, MI",Micropolitan,13499,5415,48118,21383,38308,58442,87476,137048,40.6,0.5721144967682363,0.421606648199446,0.23268698060941828,0.6766389658356418,0.6914127423822715,0.7373961218836566,0.7527239150507848,0.8542184634196046,0.09038108824128796,0.03427756266557978,0.2660925449871465,83.05100852913925,9.35591931766886,0.2874723812691549,3.366515407094153,0.9788315791974531,2.9602527856311323,6.152614654208703,6.280506599316377,7.1996724494067745,10.868055076344131,9.369695129525098,13.515602357260168,8.917012849000097,7.321123792962263,3.0487047490235586,2.9939596358299863,2.3448390079633437,1.2384356698915677,9.641580523620906,11.10865754861504,92.51639682843528,0.4432936719828325,0.2941858004976979,0.025187140453570026,1.680486011062192,2.6083802653717116,61.38038139266108,30.041895405952033,8.577723201386881,10188,2.646968297937827,0.889162477343456,1.3371635716972743,1.0977736739509592,0.998597859170343,2.0211347081153175,1.0088574262166137,3.925994323039568,4.6817824287815055,5.854792927738449,6.559283198249035,6.4806265175609585,5.311035874286105,12.903115488526385,10.584453336069217,10.916179337231968,6.066823980028043,6.473786806196778,4.076467973051537,3.5737491877842755,1.4021408296569884,0.5779556102732465,0.24964946479258576,0.36250470230156284,1941339768
NA,NA,"Akron, OH",Metropolitan,55214,23693,50776,20837,40251,62480,98862,175322,40,0.9429367323682101,0.6844215591102858,0.3565188030219896,1.03785928333263,1.0668129827375175,1.136496011480184,1.1874815346304817,0.8748275088832925,0.07541886592840469,0.03358977012683847,0.23056340546186202,86.2745752832457,6.699231320356046,1.497893113456144,1.6849020631701659,0.6354054086874158,3.2079928110845306,4.269537738248926,2.997131014293235,4.810618375928271,9.850660383646916,11.546885266418446,16.289349927833243,12.62816231194812,10.121370746684478,4.949034353009034,5.168187315246979,2.005229199173449,1.2588031881246573,7.427190475348352,6.6779077217750435,82.86584819428265,0.16941268845561344,2.2180117977232414,0.015220115587532022,0.3816408422555927,2.444464358614372,64.04434403432042,27.225326322026756,8.730329643652823,10452,1.9328778578979755,1.1318511973323655,0.7079329514913402,0.5848599123762037,0.6442926192993252,0.5848599123762037,0.6232544929548574,2.0727813980886864,3.088396947367867,4.130836107736245,5.214299614476334,5.624543078193456,5.303711651440323,12.788025098484729,11.017666766597767,11.385833977625953,6.871578017261783,10.073054893731165,6.367188938153168,5.670301002992673,1.978635782697193,1.3611667744870641,0.34765503784232976,0.49439596909499245,2331619578
NA,NA,"Alamogordo, NM",Micropolitan,4659,2074,40614,16916,32814,49522,77526,133439,35.6,1.5400192864030857,0.8418514946962391,0.4305689488910318,1.54725168756027,1.0380906460945034,1.218900675024108,1.1586306653809064,0.8132888708822887,0.08813538193037679,0.027487767631751175,0.20202691230155362,77.21629004221505,16.886019369257514,0.3062660375796705,2.392186077311481,0.6994454101481665,2.499793063488122,4.985974975574395,5.011188502631661,7.123871957305095,12.391397985018962,14.087007679620116,11.93755449798817,12.8946179625369,8.661897107798335,3.066595228340004,3.130679609610556,1.4487272421654218,0.3834557239959238,8.97496506875939,5.902066458655068,77.13368493464802,7.175724222273179,1.2718795383321868,0.09019338072307574,6.874570052740197,3.482381716731636,45.97492304227044,40.133643666941964,13.891433290787598,8004,3.6962843295638126,2.7786752827140546,2.9531502423263327,2.481421647819063,1.7124394184168013,2.630048465266559,1.2084006462035541,2.9660743134087237,5.033925686591276,5.89983844911147,7.450726978998384,5.518578352180937,5.124394184168013,9.563812600969305,7.463651050080776,8.820678513731824,5.686591276252019,8.21324717285945,4.084006462035542,3.5347334410339255,0.7237479806138934,0.9563812600969305,0.3812600969305331,1.1179321486268174,17128142410
NA,NA,"Albany, GA",Metropolitan,12645,5280,36805,13149,27846,47950,79041,143689,35.7,1.2585227272727273,0.8327651515151515,0.4649621212121212,1.1950757575757576,1.2505681818181817,1.243939393939394,1.2196969696969697,0.8431043530654159,0.08342025642852978,0.05511464130455909,0.2045823564404941,80.42079962084024,12.34131148650936,1.0765428755204982,1.9618131961136127,0.9428213548190527,3.2567114661972303,4.296697939740179,3.1062115679013402,5.661224524703448,10.808453137427627,9.41057240842577,17.613553755762144,14.547538207599613,7.595764878941562,3.1374276257836087,3.7125728018336224,1.9345403542381143,2.0200638004909046,6.545109341726034,9.610269655426034,44.17380317282044,0.1167791916072135,0.944443735402601,0.00893392722678136,0.8002246244559876,1.310734751700637,47.34591406503381,35.09771889151821,17.55636704344797,9e3,3.5095201827875093,1.782178217821782,1.7182025894897182,2.626047220106626,1.4166031987814167,2.623000761614623,1.6298552932216297,3.917745620715918,5.791317593297792,5.273419649657273,6.891089108910892,6.254379284082254,4.792079207920792,11.518659558263519,9.541507996953541,8.03960396039604,6.376237623762377,4.9504950495049505,4.392993145468393,4.222391469916222,1.5262757044935262,0.6275704493526275,0.2559025133282559,0.32292460015232294,5005402344
NA,NA,"Albany, OR",Metropolitan,9138,3825,44965,19349,36054,55432,81944,130957,39.4,1.131764705882353,0.8065359477124183,0.4135947712418301,1.16,1.2190849673202615,1.3283660130718955,1.2366013071895425,0.8434318414759139,0.0894772804919713,0.04521694567816877,0.22803171957016377,77.3648362805652,11.204416617311109,0.5838057365259328,2.303494373466452,2.436754378543024,6.10669261358829,9.646713626618983,8.025014572074966,6.762924689540709,11.244208217662342,9.256972367394118,15.681034567925629,9.42887345511307,6.207703934954209,3.7240295986010805,2.9188607107220834,2.124559132986238,1.073887829600577,7.25886920698274,6.646348089823258,92.41735013105605,1.8762154392491757,1.1524477889574702,0.0625686987401708,1.641160057495561,2.376765029170542,54.33190391256498,34.488254715191076,11.179841372243937,10776,3.1460598056148195,1.740661722374615,1.1920484947001253,0.6705272782688205,0.7010057909174032,0.772122320430763,0.4199261742693623,0.7619628162145687,1.0362694300518136,0.40299366724237184,1.4020115818348065,2.072538860103627,2.641471096210505,8.422228995225032,12.692607267432015,13.755968708727014,9.658302008195333,13.888042263537539,8.689762606251481,9.529614954790206,2.976734735344915,2.329912966913881,0.5926377459446646,0.5045887094043143,5932815078
NA,NA,"Albany-Schenectady-Troy, NY",Metropolitan,74952,32799,61841,25787,49353,76284,115410,190709,39.9,0.8338668861855545,0.5788286228238666,0.27729503948291107,0.9138388365498948,0.9274673008323424,0.9746028842342754,1.009268575261441,0.8730616265496607,0.0646808864035877,0.04052071366285105,0.22547987405657743,80.47241444587006,7.6936200445444705,3.216036009507183,3.683682841497872,1.205224743916034,3.7290219146643855,3.0461719501540396,3.0427805557903214,3.6451029611179324,9.011311645994413,10.669165173286794,16.68582176446174,14.099641319672292,13.125880484032724,5.998676817881584,5.353181423987278,2.313899925873809,1.0611296142477322,6.0252696562256585,5.92196670727368,84.53642039958108,0.16720593626758432,3.577910085693042,0.018159661111028624,1.254844003942588,2.7726033530272383,67.91626192146705,26.563030983005408,5.520707095527535,12696,1.4865980929499212,0.6377443987580768,0.8678446977559701,0.5957875304187296,0.4778666478228802,0.36038741647270817,0.20757608546834905,0.8002720571673373,1.0670294095564496,1.2732805412877668,1.4521492957870887,2.116392769285806,2.1265507479363848,7.001055546477168,7.890099504025651,12.627692416406461,10.328897682655915,16.60476188373089,12.114052017683715,11.966098850381808,4.232785538571612,2.69318929614041,0.6293530250902073,0.44253454816869314,7282106737
