offense_team,defense_team,yards_gained,yards_net,yards_to_go,down,quarter,first_down,interception,fumble,pass,pass_complete,poss_team_score,def_team_score,yards_to_touchdown,drive,pass_location,run_location,passer,rusher,receiver
NE,PIT,9,45,10,1,3,0,0,0,0,0,14,3,44,9,,right,,D.Lewis,
NE,PIT,6,51,1,2,3,1,0,0,1,1,14,3,35,9,left,,T.Brady,,D.Amendola
NE,PIT,0,79,1,1,3,0,0,0,0,0,14,3,1,9,,right,,B.Bolden,
NE,PIT,1,80,1,2,3,0,0,0,1,1,20,3,1,9,left,,T.Brady,,S.Chandler
PIT,NE,28,28,10,1,3,1,0,0,0,0,3,21,80,10,,middle,,M.Butler,
PIT,NE,33,61,10,1,3,1,0,0,1,1,3,21,52,10,left,,B.Roethlisberger,,A.Brown
PIT,NE,7,68,10,1,3,0,0,0,0,0,3,21,19,10,,right,,A.Branch,
PIT,NE,10,78,3,2,3,1,0,0,0,0,3,21,12,10,,left,,D.McCourty,
PIT,NE,1,79,2,1,3,0,0,0,0,0,3,21,2,10,,left,,D.Harmon,
PIT,NE,0,80,1,2,3,0,0,0,0,0,3,21,1,10,,left,,W.Johnson,
PIT,NE,1,80,1,3,3,0,0,0,0,0,9,21,1,10,,left,,W.Johnson,
NE,PIT,13,13,10,1,3,1,0,0,0,0,21,11,80,11,,right,,D.Lewis,
NE,PIT,-5,8,10,1,3,0,0,0,1,1,21,11,67,11,left,,T.Brady,,J.Edelman
NE,PIT,12,20,15,2,3,0,0,0,1,1,21,11,72,11,middle,,T.Brady,,J.Edelman
PIT,NE,12,12,10,1,3,1,0,0,0,0,11,21,73,12,,left,,,
PIT,NE,5,17,10,1,3,0,0,0,0,0,11,21,61,12,,left,,D.Hightower,
PIT,NE,-1,16,5,2,3,0,0,0,0,0,11,21,56,12,,right,,T.Brown,
PIT,NE,12,28,6,3,3,1,0,0,1,1,11,21,57,12,left,,B.Roethlisberger,,A.Brown
PIT,NE,26,72,10,1,3,1,0,0,1,1,11,21,45,12,right,,B.Roethlisberger,,M.Wheaton
PIT,NE,5,59,10,1,3,0,0,0,0,0,11,21,19,12,,middle,,P.Chung,
PIT,NE,6,65,5,2,3,0,0,0,1,1,11,21,14,12,right,,B.Roethlisberger,,H.Miller
PIT,NE,0,65,8,1,4,0,0,0,0,0,11,21,8,12,,right,,R.Ninkovich,
PIT,NE,3,68,8,2,4,0,0,0,1,1,11,21,8,12,right,,B.Roethlisberger,,H.Miller
PIT,NE,0,72,1,1,4,0,0,0,1,0,11,21,1,12,middle,,B.Roethlisberger,,H.Miller
PIT,NE,0,72,1,2,4,0,0,0,0,0,11,21,1,12,,middle,,W.Johnson,
PIT,NE,-1,67,5,3,4,0,0,0,0,0,11,21,5,12,,middle,,C.Jones,
NE,PIT,52,52,10,1,4,1,0,0,1,1,21,14,79,13,right,,T.Brady,,R.Gronkowski
NE,PIT,0,57,10,1,4,0,0,0,1,0,21,14,27,13,middle,,T.Brady,,J.Edelman
NE,PIT,5,57,10,2,4,0,0,0,0,0,21,14,27,13,,middle,,D.Lewis,
NE,PIT,19,78,5,3,4,1,0,1,1,1,21,14,22,13,middle,,T.Brady,,D.Lewis
NE,PIT,0,78,1,1,4,0,0,0,0,0,21,14,1,13,,right,,B.Bolden,
NE,PIT,0,78,1,2,4,0,0,0,1,0,21,14,1,13,right,,T.Brady,,R.Gronkowski
NE,PIT,1,79,1,3,4,0,0,0,1,1,27,14,1,13,left,,T.Brady,,R.Gronkowski
PIT,NE,7,7,10,1,4,0,0,0,0,0,14,28,80,14,,left,,D.McCourty,
PIT,NE,0,7,3,2,4,0,0,0,1,0,14,28,73,14,middle,,B.Roethlisberger,,A.Brown
PIT,NE,0,7,3,3,4,0,0,0,1,0,14,28,73,14,right,,B.Roethlisberger,,M.Wheaton
NE,PIT,-2,-2,10,1,4,0,0,0,0,0,28,14,74,15,,left,,D.Lewis,
NE,PIT,0,-2,12,2,4,0,0,0,1,0,28,14,76,15,right,,T.Brady,,R.Gronkowski
NE,PIT,0,-2,12,3,4,0,0,0,1,0,28,14,76,15,middle,,T.Brady,,B.Bolden
PIT,NE,18,18,10,1,4,1,0,0,1,1,14,28,64,16,right,,B.Roethlisberger,,M.Wheaton
NE,PIT,4,4,10,1,4,0,0,0,0,0,28,14,93,17,,right,,D.Lewis,
NE,PIT,1,10,10,1,4,0,0,0,0,0,28,14,84,17,,left,,D.Lewis,
NE,PIT,10,26,9,2,4,1,0,0,1,1,28,14,83,17,left,,T.Brady,,J.Edelman
NE,PIT,3,23,10,1,4,0,0,0,0,0,28,14,73,17,,middle,,B.Bolden,
NE,PIT,3,26,7,2,4,0,0,0,0,0,28,14,70,17,,middle,,D.Lewis,
NE,PIT,0,26,4,3,4,0,0,0,1,0,28,14,67,17,right,,T.Brady,,D.Lewis
PIT,NE,0,0,10,1,4,0,0,0,1,0,14,28,70,18,right,,B.Roethlisberger,,H.Miller
PIT,NE,9,9,10,2,4,0,0,0,1,1,14,28,70,18,left,,B.Roethlisberger,,D.Heyward
PIT,NE,7,16,1,3,4,0,0,0,1,1,14,28,61,18,middle,,B.Roethlisberger,,H.Miller
